event_id,customer_id,event_date,event_type,from_grade,to_grade
ME00107,CUST00064,2025-10-02,등급상승,일반,BRONZE
ME00108,CUST00065,2023-01-10,가입,,일반
ME00109,CUST00065,2023-01-16,등급상승,일반,BRONZE
ME00110,CUST00066,2025-12-17,가입,,일반
ME00111,CUST00067,2019-03-17,가입,,일반
ME00112,CUST00067,2019-03-22,등급상승,일반,VIP
ME00113,CUST00068,2023-03-16,가입,,일반
ME00114,CUST00068,2023-03-18,등급상승,일반,SILVER
ME00115,CUST00069,2020-11-10,가입,,일반
ME00116,CUST00069,2023-09-29,등급상승,일반,GOLD
ME00117,CUST00069,2024-05-16,이탈,GOLD,
ME00118,CUST00070,2020-02-19,가입,,일반
ME00119,CUST00072,2025-07-07,가입,,일반
ME00120,CUST00072,2025-07-12,등급상승,일반,BRONZE
ME00121,CUST00073,2020-12-29,가입,,일반
ME00122,CUST00073,2021-01-16,등급상승,일반,SILVER
ME00123,CUST00074,2024-11-26,가입,,일반
ME00124,CUST00074,2024-12-18,등급상승,일반,GOLD
ME00125,CUST00075,2022-12-18,가입,,일반
ME00126,CUST00075,2022-12-30,등급상승,일반,SILVER
ME00127,CUST00076,2022-03-27,가입,,일반
ME00128,CUST00076,2022-04-12,등급상승,일반,SILVER
ME00129,CUST00077,2025-05-11,가입,,일반
ME00130,CUST00077,2025-06-08,등급상승,일반,BRONZE
ME00131,CUST00078,2019-04-01,가입,,일반
ME00132,CUST00078,2019-04-06,등급상승,일반,SILVER
ME00133,CUST00079,2023-07-18,가입,,일반
ME00134,CUST00079,2023-07-31,등급상승,일반,VIP
ME00135,CUST00080,2022-12-05,가입,,일반
ME00136,CUST00080,2022-12-27,등급상승,일반,GOLD
ME00137,CUST00081,2021-11-14,가입,,일반
ME00138,CUST00081,2021-12-05,등급상승,일반,BRONZE
ME00139,CUST00082,2019-09-12,가입,,일반
ME00140,CUST00082,2019-10-07,등급상승,일반,SILVER
ME00141,CUST00083,2025-06-01,가입,,일반
ME00142,CUST00083,2025-06-12,등급상승,일반,VIP
ME00143,CUST00084,2020-01-28,가입,,일반
ME00144,CUST00084,2020-02-20,등급상승,일반,SILVER
ME00145,CUST00085,2020-06-05,가입,,일반
ME00146,CUST00085,2020-06-25,등급상승,일반,BRONZE
ME00147,CUST00086,2019-03-21,가입,,일반
ME00148,CUST00088,2025-11-07,가입,,일반
ME00149,CUST00088,2025-12-04,등급상승,일반,GOLD
ME00150,CUST00090,2022-01-30,가입,,일반
ME00151,CUST00090,2023-11-26,등급상승,일반,BRONZE
ME00152,CUST00090,2024-11-11,이탈,BRONZE,
ME00153,CUST00091,2024-03-28,가입,,일반
ME00154,CUST00092,2021-02-01,가입,,일반
ME00155,CUST00093,2023-11-06,가입,,일반
ME00156,CUST00093,2023-11-12,등급상승,일반,BRONZE
ME00157,CUST00094,2023-02-23,가입,,일반
ME00158,CUST00094,2023-03-15,등급상승,일반,SILVER
ME00159,CUST00095,2019-02-01,가입,,일반
ME00160,CUST00095,2019-02-21,등급상승,일반,BRONZE
ME00161,CUST00096,2023-09-21,가입,,일반
ME00162,CUST00096,2023-10-14,등급상승,일반,BRONZE
ME00163,CUST00097,2021-07-03,가입,,일반
ME00164,CUST00097,2021-07-24,등급상승,일반,SILVER
ME00165,CUST00098,2023-09-16,가입,,일반
ME00166,CUST00098,2023-10-04,등급상승,일반,BRONZE
ME00167,CUST00099,2021-08-10,가입,,일반
ME00168,CUST00099,2021-08-16,등급상승,일반,SILVER
ME00169,CUST00100,2020-08-18,가입,,일반
ME00170,CUST00100,2025-04-01,등급상승,일반,SILVER
ME00171,CUST00100,2025-11-29,이탈,SILVER,
ME00172,CUST00101,2021-05-29,가입,,일반
ME00173,CUST00102,2019-02-13,가입,,일반
ME00174,CUST00102,2019-02-26,등급상승,일반,BRONZE
ME00175,CUST00103,2021-06-26,가입,,일반
ME00176,CUST00103,2021-07-20,등급상승,일반,BRONZE
ME00177,CUST00104,2021-06-02,가입,,일반
ME00178,CUST00104,2021-06-05,등급상승,일반,SILVER
ME00179,CUST00105,2023-01-24,가입,,일반
ME00180,CUST00105,2023-02-05,등급상승,일반,GOLD
ME00181,CUST00106,2020-04-08,가입,,일반
ME00182,CUST00106,2025-03-04,이탈,일반,
ME00183,CUST00107,2025-07-03,가입,,일반
ME00184,CUST00107,2025-07-11,등급상승,일반,SILVER
ME00185,CUST00108,2024-01-03,가입,,일반
ME00186,CUST00109,2024-04-27,가입,,일반
ME00187,CUST00109,2024-05-06,등급상승,일반,SILVER
ME00188,CUST00110,2020-05-01,가입,,일반
ME00189,CUST00110,2020-05-20,등급상승,일반,VIP
ME00190,CUST00111,2025-01-05,가입,,일반
ME00191,CUST00111,2025-01-10,등급상승,일반,SILVER
ME00192,CUST00112,2024-08-16,가입,,일반
ME00193,CUST00113,2021-04-05,가입,,일반
ME00194,CUST00114,2025-05-15,가입,,일반
ME00195,CUST00115,2021-04-25,가입,,일반
ME00196,CUST00115,2021-05-18,등급상승,일반,BRONZE
ME00197,CUST00116,2025-04-01,가입,,일반
ME00198,CUST00116,2025-04-12,등급상승,일반,SILVER
ME00199,CUST00117,2023-11-26,가입,,일반
ME00200,CUST00117,2023-12-09,등급상승,일반,VIP
ME00201,CUST00118,2020-07-17,가입,,일반
ME00202,CUST00119,2022-06-22,가입,,일반
ME00203,CUST00119,2022-07-01,등급상승,일반,SILVER
ME00204,CUST00120,2024-08-20,가입,,일반
ME00205,CUST00121,2019-12-27,가입,,일반
ME00206,CUST00122,2022-07-07,가입,,일반
ME00207,CUST00122,2022-07-16,등급상승,일반,GOLD
ME00208,CUST00123,2021-04-09,가입,,일반
ME00209,CUST00123,2021-04-24,등급상승,일반,BRONZE
ME00210,CUST00124,2019-03-31,가입,,일반
ME00211,CUST00126,2025-02-04,가입,,일반
ME00212,CUST00126,2025-02-07,등급상승,일반,SILVER
ME00213,CUST00127,2022-11-20,가입,,일반
ME00214,CUST00127,2022-12-03,등급상승,일반,BRONZE
ME00215,CUST00128,2019-08-05,가입,,일반
ME00216,CUST00128,2019-09-02,등급상승,일반,SILVER
ME00217,CUST00130,2023-02-13,가입,,일반
ME00218,CUST00130,2023-02-15,등급상승,일반,SILVER
ME00219,CUST00133,2024-01-08,가입,,일반
ME00220,CUST00133,2024-02-02,등급상승,일반,SILVER
ME00221,CUST00134,2025-02-22,가입,,일반
ME00222,CUST00134,2025-02-24,등급상승,일반,GOLD
ME00223,CUST00135,2024-04-20,가입,,일반
ME00224,CUST00135,2024-05-06,등급상승,일반,BRONZE
ME00225,CUST00136,2021-09-10,가입,,일반
ME00226,CUST00136,2021-09-28,등급상승,일반,BRONZE
ME00227,CUST00138,2020-05-31,가입,,일반
ME00228,CUST00138,2020-06-16,등급상승,일반,BRONZE
ME00229,CUST00140,2020-06-27,가입,,일반
ME00230,CUST00140,2022-12-15,등급상승,일반,GOLD
ME00231,CUST00140,2024-08-15,이탈,GOLD,
ME00232,CUST00141,2022-12-03,가입,,일반
ME00233,CUST00141,2025-03-31,등급상승,일반,BRONZE
ME00234,CUST00141,2025-07-02,이탈,BRONZE,
ME00235,CUST00142,2024-10-06,가입,,일반
ME00236,CUST00142,2024-10-29,등급상승,일반,BRONZE
ME00237,CUST00143,2024-11-14,가입,,일반
ME00238,CUST00143,2025-01-12,등급상승,일반,SILVER
ME00239,CUST00143,2025-02-19,이탈,SILVER,
ME00240,CUST00144,2021-01-06,가입,,일반
ME00241,CUST00144,2023-12-09,등급상승,일반,SILVER
ME00242,CUST00144,2025-07-21,이탈,SILVER,
ME00243,CUST00145,2024-08-07,가입,,일반
ME00244,CUST00145,2024-08-30,등급상승,일반,SILVER
ME00245,CUST00146,2025-08-07,가입,,일반
ME00246,CUST00146,2025-08-22,등급상승,일반,BRONZE
ME00247,CUST00147,2024-05-05,가입,,일반
ME00248,CUST00147,2024-05-25,등급상승,일반,GOLD
ME00249,CUST00148,2022-02-07,가입,,일반
ME00250,CUST00148,2022-03-07,등급상승,일반,BRONZE
ME00251,CUST00149,2020-09-15,가입,,일반
ME00252,CUST00149,2020-09-29,등급상승,일반,GOLD
ME00253,CUST00150,2025-11-10,가입,,일반
ME00254,CUST00150,2025-12-05,등급상승,일반,SILVER
ME00255,CUST00151,2025-06-01,가입,,일반
ME00256,CUST00151,2025-10-03,이탈,일반,
ME00257,CUST00152,2021-04-01,가입,,일반
ME00258,CUST00152,2021-05-05,등급상승,일반,BRONZE
ME00259,CUST00152,2024-03-31,이탈,BRONZE,
ME00260,CUST00153,2022-03-29,가입,,일반
ME00261,CUST00154,2024-04-08,가입,,일반
ME00262,CUST00155,2024-07-10,가입,,일반
ME00263,CUST00155,2024-07-26,등급상승,일반,SILVER
ME00264,CUST00156,2019-12-27,가입,,일반
ME00265,CUST00156,2020-01-15,등급상승,일반,GOLD
ME00266,CUST00157,2023-12-30,가입,,일반
ME00267,CUST00157,2024-04-04,등급상승,일반,BRONZE
ME00268,CUST00157,2024-07-31,이탈,BRONZE,
ME00269,CUST00158,2022-06-21,가입,,일반
ME00270,CUST00159,2022-10-13,가입,,일반
ME00271,CUST00159,2024-09-03,이탈,일반,
ME00272,CUST00160,2024-06-26,가입,,일반
ME00273,CUST00160,2024-07-12,등급상승,일반,SILVER
ME00274,CUST00162,2025-09-11,가입,,일반
ME00275,CUST00162,2025-10-25,등급상승,일반,BRONZE
ME00276,CUST00162,2025-11-03,이탈,BRONZE,
ME00277,CUST00164,2023-08-06,가입,,일반
ME00278,CUST00164,2023-08-09,등급상승,일반,SILVER
ME00279,CUST00165,2019-02-16,가입,,일반
ME00280,CUST00165,2019-03-02,등급상승,일반,SILVER
ME00281,CUST00166,2020-01-29,가입,,일반
ME00282,CUST00166,2020-02-27,등급상승,일반,BRONZE
ME00283,CUST00167,2024-01-19,가입,,일반
ME00284,CUST00167,2024-02-17,등급상승,일반,GOLD
ME00285,CUST00168,2022-11-24,가입,,일반
ME00286,CUST00168,2022-12-03,등급상승,일반,BRONZE
ME00287,CUST00169,2024-11-01,가입,,일반
ME00288,CUST00169,2024-11-24,등급상승,일반,GOLD
ME00289,CUST00170,2020-04-05,가입,,일반
ME00290,CUST00170,2020-04-07,등급상승,일반,GOLD
ME00291,CUST00171,2022-11-10,가입,,일반
ME00292,CUST00171,2022-11-28,등급상승,일반,BRONZE
ME00293,CUST00172,2025-02-17,가입,,일반
ME00294,CUST00173,2022-11-09,가입,,일반
ME00295,CUST00173,2022-11-28,등급상승,일반,SILVER
ME00296,CUST00174,2020-04-19,가입,,일반
ME00297,CUST00174,2020-04-20,등급상승,일반,BRONZE
ME00298,CUST00176,2021-10-21,가입,,일반
ME00299,CUST00176,2021-10-30,등급상승,일반,BRONZE
ME00300,CUST00177,2021-06-12,가입,,일반
ME00301,CUST00177,2021-06-25,등급상승,일반,BRONZE
ME00302,CUST00178,2024-08-02,가입,,일반
ME00303,CUST00178,2024-09-07,등급상승,일반,SILVER
ME00304,CUST00178,2024-11-14,이탈,SILVER,
ME00305,CUST00179,2025-06-27,가입,,일반
ME00306,CUST00179,2025-07-05,등급상승,일반,SILVER
ME00307,CUST00180,2024-03-07,가입,,일반
ME00308,CUST00180,2025-03-16,이탈,일반,
ME00309,CUST00181,2021-12-26,가입,,일반
ME00310,CUST00181,2022-12-15,등급상승,일반,VIP
ME00311,CUST00181,2024-03-02,이탈,VIP,
ME00312,CUST00182,2025-05-07,가입,,일반
ME00313,CUST00182,2025-05-17,등급상승,일반,BRONZE
ME00314,CUST00183,2021-08-26,가입,,일반
ME00315,CUST00183,2021-09-22,등급상승,일반,BRONZE
ME00316,CUST00184,2021-04-25,가입,,일반
ME00317,CUST00184,2021-05-07,등급상승,일반,SILVER
ME00318,CUST00185,2020-10-31,가입,,일반
ME00319,CUST00185,2020-11-17,등급상승,일반,BRONZE
ME00320,CUST00186,2023-02-20,가입,,일반
ME00321,CUST00186,2023-03-02,등급상승,일반,BRONZE
ME00322,CUST00187,2020-09-27,가입,,일반
ME00323,CUST00187,2020-10-16,등급상승,일반,SILVER
ME00324,CUST00188,2020-01-08,가입,,일반
ME00325,CUST00188,2020-01-25,등급상승,일반,VIP
ME00326,CUST00189,2023-04-04,가입,,일반
ME00327,CUST00189,2023-04-13,등급상승,일반,BRONZE
ME00328,CUST00190,2019-02-28,가입,,일반
ME00329,CUST00190,2019-03-05,등급상승,일반,SILVER
ME00330,CUST00192,2019-10-01,가입,,일반
ME00331,CUST00192,2019-10-13,등급상승,일반,SILVER
ME00332,CUST00193,2019-09-02,가입,,일반
ME00333,CUST00193,2019-09-27,등급상승,일반,SILVER
ME00334,CUST00194,2023-05-06,가입,,일반
ME00335,CUST00194,2023-05-28,등급상승,일반,BRONZE
ME00336,CUST00195,2019-11-16,가입,,일반
ME00337,CUST00195,2019-11-26,등급상승,일반,GOLD
ME00338,CUST00196,2025-07-29,가입,,일반
ME00339,CUST00196,2025-08-23,등급상승,일반,BRONZE
ME00340,CUST00197,2020-04-14,가입,,일반
ME00341,CUST00197,2020-04-22,등급상승,일반,SILVER
ME00342,CUST00198,2019-06-24,가입,,일반
ME00343,CUST00198,2019-07-16,등급상승,일반,SILVER
ME00344,CUST00199,2022-02-19,가입,,일반
ME00345,CUST00200,2022-12-08,가입,,일반
ME00346,CUST00200,2022-12-13,등급상승,일반,BRONZE
ME00347,CUST00201,2024-02-23,가입,,일반
ME00348,CUST00201,2024-03-12,등급상승,일반,SILVER
ME00349,CUST00202,2023-04-17,가입,,일반
ME00350,CUST00202,2023-04-28,등급상승,일반,BRONZE
ME00351,CUST00203,2023-06-13,가입,,일반
ME00352,CUST00203,2023-07-02,등급상승,일반,BRONZE
ME00353,CUST00204,2025-08-03,가입,,일반
ME00354,CUST00204,2025-08-25,등급상승,일반,SILVER
ME00355,CUST00205,2024-10-08,가입,,일반
ME00356,CUST00205,2024-10-23,등급상승,일반,SILVER
ME00357,CUST00206,2021-08-21,가입,,일반
ME00358,CUST00207,2023-10-03,가입,,일반
ME00359,CUST00207,2023-10-20,등급상승,일반,SILVER
ME00360,CUST00208,2024-06-30,가입,,일반
ME00361,CUST00208,2024-07-19,등급상승,일반,BRONZE
ME00362,CUST00209,2021-11-27,가입,,일반
ME00363,CUST00210,2019-08-28,가입,,일반
ME00364,CUST00210,2019-09-06,등급상승,일반,SILVER
ME00365,CUST00211,2022-03-16,가입,,일반
ME00366,CUST00211,2022-03-23,등급상승,일반,GOLD
ME00367,CUST00212,2022-02-05,가입,,일반
ME00368,CUST00212,2022-03-01,등급상승,일반,BRONZE
ME00369,CUST00213,2023-07-18,가입,,일반
ME00370,CUST00213,2023-08-09,등급상승,일반,SILVER
ME00371,CUST00214,2025-07-18,가입,,일반
ME00372,CUST00214,2025-07-24,등급상승,일반,SILVER
ME00373,CUST00215,2020-03-05,가입,,일반
ME00374,CUST00216,2025-01-19,가입,,일반
ME00375,CUST00217,2022-10-27,가입,,일반
ME00376,CUST00218,2021-12-22,가입,,일반
ME00377,CUST00219,2022-04-14,가입,,일반
ME00378,CUST00220,2025-09-24,가입,,일반
ME00379,CUST00220,2025-09-28,등급상승,일반,GOLD
ME00380,CUST00221,2025-06-15,가입,,일반
ME00381,CUST00221,2025-06-17,등급상승,일반,BRONZE
ME00382,CUST00221,2025-06-19,이탈,BRONZE,
ME00383,CUST00223,2020-01-14,가입,,일반
ME00384,CUST00223,2020-02-09,등급상승,일반,VIP
ME00385,CUST00225,2022-01-01,가입,,일반
ME00386,CUST00225,2022-01-07,등급상승,일반,SILVER
ME00387,CUST00226,2022-01-25,가입,,일반
ME00388,CUST00226,2022-01-28,등급상승,일반,GOLD
ME00389,CUST00227,2022-03-05,가입,,일반
ME00390,CUST00227,2022-03-22,등급상승,일반,SILVER
ME00391,CUST00228,2025-03-27,가입,,일반
ME00392,CUST00228,2025-04-16,등급상승,일반,BRONZE
ME00393,CUST00229,2021-11-17,가입,,일반
ME00394,CUST00230,2025-11-26,가입,,일반
ME00395,CUST00230,2025-12-02,등급상승,일반,GOLD
ME00396,CUST00230,2025-12-06,이탈,GOLD,
ME00397,CUST00231,2019-05-11,가입,,일반
ME00398,CUST00231,2019-05-31,등급상승,일반,SILVER
ME00399,CUST00232,2021-02-26,가입,,일반
ME00400,CUST00232,2021-03-06,등급상승,일반,VIP
ME00401,CUST00233,2021-04-28,가입,,일반
ME00402,CUST00233,2021-05-03,등급상승,일반,GOLD
ME00403,CUST00235,2025-10-25,가입,,일반
ME00404,CUST00235,2025-11-15,등급상승,일반,GOLD
ME00405,CUST00236,2021-07-01,가입,,일반
ME00406,CUST00236,2021-07-30,등급상승,일반,SILVER
ME00407,CUST00237,2024-02-16,가입,,일반
ME00408,CUST00237,2024-03-06,등급상승,일반,BRONZE
ME00409,CUST00240,2020-01-28,가입,,일반
ME00410,CUST00240,2020-02-04,등급상승,일반,GOLD
ME00411,CUST00242,2020-03-03,가입,,일반
ME00412,CUST00242,2020-03-16,등급상승,일반,BRONZE
ME00413,CUST00243,2019-03-22,가입,,일반
ME00414,CUST00243,2019-04-18,등급상승,일반,BRONZE
ME00415,CUST00244,2025-08-04,가입,,일반
ME00416,CUST00244,2025-08-15,등급상승,일반,SILVER
ME00417,CUST00245,2020-09-13,가입,,일반
ME00418,CUST00245,2020-10-12,등급상승,일반,GOLD
ME00419,CUST00246,2025-11-23,가입,,일반
ME00420,CUST00246,2025-12-19,등급상승,일반,BRONZE
ME00421,CUST00247,2021-06-21,가입,,일반
ME00422,CUST00248,2020-01-13,가입,,일반
ME00423,CUST00248,2024-09-24,이탈,일반,
ME00424,CUST00249,2023-09-18,가입,,일반
ME00425,CUST00249,2023-10-07,등급상승,일반,BRONZE
ME00426,CUST00250,2021-08-18,가입,,일반
ME00427,CUST00250,2021-09-09,등급상승,일반,SILVER
ME00428,CUST00251,2021-09-11,가입,,일반
ME00429,CUST00251,2021-10-06,등급상승,일반,BRONZE
ME00430,CUST00252,2025-08-21,가입,,일반
ME00431,CUST00252,2025-09-11,등급상승,일반,BRONZE
ME00432,CUST00253,2023-05-29,가입,,일반
ME00433,CUST00253,2023-06-21,등급상승,일반,GOLD
ME00434,CUST00254,2023-06-01,가입,,일반
ME00435,CUST00254,2025-10-27,이탈,일반,
ME00436,CUST00255,2020-01-24,가입,,일반
ME00437,CUST00255,2020-01-27,등급상승,일반,BRONZE
ME00438,CUST00256,2024-08-08,가입,,일반
ME00439,CUST00256,2024-08-09,등급상승,일반,BRONZE
ME00440,CUST00257,2019-05-22,가입,,일반
ME00441,CUST00258,2024-06-08,가입,,일반
ME00442,CUST00258,2024-10-15,등급상승,일반,VIP
ME00443,CUST00258,2024-10-28,이탈,VIP,
ME00444,CUST00259,2022-11-10,가입,,일반
ME00445,CUST00259,2022-12-04,등급상승,일반,GOLD
ME00446,CUST00260,2020-09-25,가입,,일반
ME00447,CUST00260,2020-10-21,등급상승,일반,SILVER
ME00448,CUST00261,2022-05-23,가입,,일반
ME00449,CUST00261,2022-06-19,등급상승,일반,GOLD
ME00450,CUST00262,2021-04-11,가입,,일반
ME00451,CUST00262,2021-05-07,등급상승,일반,SILVER
ME00452,CUST00263,2022-07-23,가입,,일반
ME00453,CUST00263,2024-06-25,등급상승,일반,SILVER
ME00454,CUST00263,2025-03-26,이탈,SILVER,
ME00455,CUST00264,2025-06-28,가입,,일반
ME00456,CUST00264,2025-06-30,등급상승,일반,GOLD
ME00457,CUST00265,2019-10-07,가입,,일반
ME00458,CUST00266,2019-06-07,가입,,일반
ME00459,CUST00266,2019-07-04,등급상승,일반,SILVER
ME00460,CUST00267,2020-02-21,가입,,일반
ME00461,CUST00268,2023-11-07,가입,,일반
ME00462,CUST00268,2023-11-28,등급상승,일반,BRONZE
ME00463,CUST00269,2025-07-02,가입,,일반
ME00464,CUST00269,2025-07-31,등급상승,일반,BRONZE
ME00465,CUST00270,2025-10-05,가입,,일반
ME00466,CUST00271,2023-04-03,가입,,일반
ME00467,CUST00271,2023-04-13,등급상승,일반,VIP
ME00468,CUST00272,2022-11-20,가입,,일반
ME00469,CUST00272,2022-11-23,등급상승,일반,GOLD
ME00470,CUST00273,2022-05-05,가입,,일반
ME00471,CUST00274,2023-03-02,가입,,일반
ME00472,CUST00274,2023-03-11,등급상승,일반,BRONZE
ME00473,CUST00275,2024-09-24,가입,,일반
ME00474,CUST00275,2024-09-29,등급상승,일반,GOLD
ME00475,CUST00276,2023-01-14,가입,,일반
ME00476,CUST00276,2023-09-26,등급상승,일반,SILVER
ME00477,CUST00276,2025-03-05,이탈,SILVER,
ME00478,CUST00277,2024-05-08,가입,,일반
ME00479,CUST00277,2024-06-03,등급상승,일반,BRONZE
ME00480,CUST00278,2023-11-14,가입,,일반
ME00481,CUST00280,2025-01-01,가입,,일반
ME00482,CUST00280,2025-01-02,등급상승,일반,GOLD
ME00483,CUST00281,2022-03-16,가입,,일반
ME00484,CUST00281,2022-03-24,등급상승,일반,SILVER
ME00485,CUST00282,2022-01-05,가입,,일반
ME00486,CUST00282,2022-01-09,등급상승,일반,BRONZE
ME00487,CUST00283,2023-09-30,가입,,일반
ME00488,CUST00283,2023-11-15,등급상승,일반,SILVER
ME00489,CUST00283,2024-01-01,이탈,SILVER,
ME00490,CUST00284,2023-01-30,가입,,일반
ME00491,CUST00284,2023-02-04,등급상승,일반,SILVER
ME00492,CUST00285,2022-05-10,가입,,일반
ME00493,CUST00286,2022-10-06,가입,,일반
ME00494,CUST00286,2022-11-01,등급상승,일반,BRONZE
ME00495,CUST00287,2023-10-13,가입,,일반
ME00496,CUST00287,2024-05-03,등급상승,일반,BRONZE
ME00497,CUST00287,2025-10-27,이탈,BRONZE,
ME00498,CUST00288,2019-06-07,가입,,일반
ME00499,CUST00288,2019-06-14,등급상승,일반,BRONZE
ME00500,CUST00289,2025-02-06,가입,,일반
ME00501,CUST00289,2025-02-16,등급상승,일반,SILVER
