month,channel,spend,impressions,clicks,signups
2022-02,SNS광고,176099,8815.0,227.0,1
2022-02,검색광고,120120,5742.0,348.0,2
2022-02,자사앱푸시,10531,3058.0,271.0,1
2022-02,지인추천,413,,,0
2022-02,제휴사,27491,,,1
2022-02,오프라인매장,12481,,,0
2022-03,SNS광고,178860,8198.0,208.0,1
2022-03,검색광고,3187,192.0,10.0,0
2022-03,자사앱푸시,12235,3653.0,365.0,1
2022-03,지인추천,7659,,,3
2022-03,제휴사,1747,,,0
2022-03,오프라인매장,109814,,,2
2022-04,SNS광고,184704,8387.0,145.0,1
2022-04,검색광고,36777,2074.0,105.0,1
2022-04,자사앱푸시,489,139.0,10.0,0
2022-04,지인추천,571,,,0
2022-04,제휴사,4722,,,0
2022-04,오프라인매장,14244,,,0
2022-05,SNS광고,281335,16741.0,303.0,2
2022-05,검색광고,2757,162.0,11.0,0
2022-05,자사앱푸시,2706,973.0,76.0,0
2022-05,지인추천,916,,,0
2022-05,제휴사,21232,,,1
2022-05,오프라인매장,70308,,,1
2022-06,SNS광고,324143,16390.0,337.0,2
2022-06,검색광고,149910,7774.0,552.0,2
2022-06,자사앱푸시,2036,747.0,60.0,0
2022-06,지인추천,3411,,,1
2022-06,제휴사,33595,,,1
2022-06,오프라인매장,81199,,,1
2022-07,SNS광고,153334,7212.0,182.0,1
2022-07,검색광고,140696,7683.0,318.0,2
2022-07,자사앱푸시,11458,4311.0,388.0,1
2022-07,지인추천,4345,,,1
2022-07,제휴사,6306,,,0
2022-07,오프라인매장,10758,,,0
2022-08,SNS광고,64160,1240.0,25.0,0
2022-08,검색광고,5128,262.0,10.0,0
2022-08,자사앱푸시,11262,3416.0,340.0,1
2022-08,지인추천,978,,,0
2022-08,제휴사,4440,,,0
2022-08,오프라인매장,17202,,,0
2022-09,SNS광고,27097,598.0,12.0,0
2022-09,검색광고,24752,1286.0,51.0,0
2022-09,자사앱푸시,557,170.0,17.0,0
2022-09,지인추천,1170,,,0
2022-09,제휴사,7581,,,0
2022-09,오프라인매장,17126,,,0
2022-10,SNS광고,395968,15873.0,253.0,2
2022-10,검색광고,14664,721.0,42.0,0
2022-10,자사앱푸시,4174,1292.0,84.0,0
2022-10,지인추천,3659,,,1
2022-10,제휴사,26364,,,1
2022-10,오프라인매장,787,,,0
2022-11,SNS광고,289541,15130.0,280.0,2
2022-11,검색광고,207883,10791.0,532.0,3
2022-11,자사앱푸시,113,33.0,3.0,0
2022-11,지인추천,4981,,,1
2022-11,제휴사,28503,,,1
2022-11,오프라인매장,63474,,,1
2022-12,SNS광고,507520,23609.0,549.0,3
2022-12,검색광고,23217,1416.0,74.0,0
2022-12,자사앱푸시,3628,1139.0,128.0,0
2022-12,지인추천,1441,,,0
2022-12,제휴사,1165,,,0
2022-12,오프라인매장,63833,,,1
2023-01,SNS광고,273736,18016.0,425.0,2
2023-01,검색광고,73196,4419.0,184.0,1
2023-01,자사앱푸시,1863,535.0,46.0,0
2023-01,지인추천,1741,,,1
2023-01,제휴사,28022,,,1
2023-01,오프라인매장,75937,,,1
2023-02,SNS광고,175168,7758.0,191.0,1
2023-02,검색광고,46049,2381.0,131.0,1
2023-02,자사앱푸시,1158,386.0,27.0,0
2023-02,지인추천,4310,,,1
2023-02,제휴사,5167,,,0
2023-02,오프라인매장,6161,,,0
2023-03,SNS광고,348719,18089.0,463.0,2
2023-03,검색광고,3907,214.0,9.0,0
2023-03,자사앱푸시,2628,813.0,92.0,0
2023-03,지인추천,817,,,0
2023-03,제휴사,40000,,,1
2023-03,오프라인매장,14348,,,0
2023-04,SNS광고,189997,7251.0,146.0,1
2023-04,검색광고,44156,2525.0,107.0,1
2023-04,자사앱푸시,7320,2728.0,199.0,1
2023-04,지인추천,852,,,0
2023-04,제휴사,5533,,,0
2023-04,오프라인매장,43509,,,1
2023-05,SNS광고,74982,1478.0,36.0,0
2023-05,검색광고,74900,4602.0,190.0,1
2023-05,자사앱푸시,4183,1581.0,126.0,0
2023-05,지인추천,3516,,,1
2023-05,제휴사,19389,,,1
2023-05,오프라인매장,4561,,,0
2023-06,SNS광고,222716,7716.0,173.0,1
2023-06,검색광고,124277,5840.0,350.0,2
2023-06,자사앱푸시,2949,863.0,98.0,0
2023-06,지인추천,1270,,,0
2023-06,제휴사,4002,,,0
2023-06,오프라인매장,12892,,,0
2023-07,SNS광고,4547,86.0,1.0,0
2023-07,검색광고,5416,273.0,16.0,0
2023-07,자사앱푸시,12562,3992.0,366.0,2
2023-07,지인추천,549,,,0
2023-07,제휴사,12077,,,0
2023-07,오프라인매장,70238,,,1
2023-08,SNS광고,59525,1032.0,19.0,0
2023-08,검색광고,124834,7803.0,418.0,2
2023-08,자사앱푸시,2529,748.0,77.0,0
2023-08,지인추천,3849,,,1
2023-08,제휴사,10867,,,0
2023-08,오프라인매장,65705,,,1
2023-09,SNS광고,392090,17938.0,432.0,2
2023-09,검색광고,80575,3783.0,215.0,2
2023-09,자사앱푸시,13831,5108.0,500.0,1
2023-09,지인추천,272,,,0
2023-09,제휴사,10168,,,1
2023-09,오프라인매장,4904,,,0
2023-10,SNS광고,169022,9303.0,215.0,1
2023-10,검색광고,8038,500.0,30.0,0
2023-10,자사앱푸시,10306,3236.0,256.0,1
2023-10,지인추천,1056,,,0
2023-10,제휴사,21646,,,1
2023-10,오프라인매장,47430,,,1
2023-11,SNS광고,71165,1532.0,30.0,0
2023-11,검색광고,138579,7413.0,364.0,2
2023-11,자사앱푸시,1940,665.0,74.0,0
2023-11,지인추천,114,,,0
2023-11,제휴사,123825,,,3
2023-11,오프라인매장,8450,,,0
2023-12,SNS광고,150127,7519.0,174.0,1
2023-12,검색광고,25279,1184.0,48.0,0
2023-12,자사앱푸시,361,111.0,12.0,0
2023-12,지인추천,287,,,0
2023-12,제휴사,70992,,,2
2023-12,오프라인매장,13930,,,0
2024-01,SNS광고,221481,9149.0,143.0,1
2024-01,검색광고,61285,3532.0,237.0,1
2024-01,자사앱푸시,12397,4215.0,281.0,1
2024-01,지인추천,2444,,,1
2024-01,제휴사,9098,,,0
2024-01,오프라인매장,97785,,,2
2024-02,SNS광고,4979,109.0,2.0,0
2024-02,검색광고,653,30.0,2.0,0
2024-02,자사앱푸시,10550,3566.0,306.0,1
2024-02,지인추천,3489,,,1
2024-02,제휴사,6258,,,0
2024-02,오프라인매장,3603,,,0
2024-03,SNS광고,385005,14424.0,284.0,2
2024-03,검색광고,18293,1052.0,49.0,0
2024-03,자사앱푸시,1649,552.0,48.0,0
2024-03,지인추천,4298,,,1
2024-03,제휴사,3135,,,0
2024-03,오프라인매장,3598,,,0
2024-04,SNS광고,133374,8588.0,134.0,1
2024-04,검색광고,66246,3989.0,184.0,1
2024-04,자사앱푸시,5078,1442.0,94.0,1
2024-04,지인추천,3176,,,1
2024-04,제휴사,561,,,0
2024-04,오프라인매장,1724,,,0
2024-05,SNS광고,301237,17946.0,328.0,2
2024-05,검색광고,16367,1023.0,48.0,0
2024-05,자사앱푸시,557,188.0,17.0,0
2024-05,지인추천,2545,,,1
2024-05,제휴사,11156,,,0
2024-05,오프라인매장,46670,,,1
2024-06,SNS광고,316442,16945.0,297.0,2
2024-06,검색광고,67709,4171.0,254.0,1
2024-06,자사앱푸시,1876,632.0,56.0,0
2024-06,지인추천,6150,,,2
2024-06,제휴사,26620,,,1
2024-06,오프라인매장,1616,,,0
2024-07,SNS광고,9288,168.0,3.0,0
2024-07,검색광고,160494,9805.0,612.0,2
2024-07,자사앱푸시,9701,3419.0,332.0,1
2024-07,지인추천,3277,,,1
2024-07,제휴사,8979,,,0
2024-07,오프라인매장,7739,,,0
2024-08,SNS광고,627733,28427.0,598.0,3
2024-08,검색광고,130507,6983.0,443.0,2
2024-08,자사앱푸시,721,218.0,20.0,0
2024-08,지인추천,2466,,,1
2024-08,제휴사,613,,,0
2024-08,오프라인매장,13991,,,0
2024-09,SNS광고,339583,17452.0,395.0,2
2024-09,검색광고,66538,3944.0,233.0,1
2024-09,자사앱푸시,2727,800.0,62.0,0
2024-09,지인추천,1265,,,0
2024-09,제휴사,12725,,,1
2024-09,오프라인매장,14214,,,0
2024-10,SNS광고,115083,8918.0,213.0,1
2024-10,검색광고,68301,3827.0,190.0,1
2024-10,자사앱푸시,3888,1382.0,125.0,0
2024-10,지인추천,73,,,0
2024-10,제휴사,2412,,,0
2024-10,오프라인매장,38257,,,1
2024-11,SNS광고,118588,8345.0,140.0,1
2024-11,검색광고,187964,9754.0,638.0,3
2024-11,자사앱푸시,10591,3818.0,406.0,1
2024-11,지인추천,882,,,0
2024-11,제휴사,5026,,,0
2024-11,오프라인매장,22159,,,0
2024-12,SNS광고,39160,795.0,13.0,0
2024-12,검색광고,13711,642.0,39.0,0
2024-12,자사앱푸시,3731,1159.0,76.0,0
2024-12,지인추천,3816,,,1
2024-12,제휴사,6655,,,0
2024-12,오프라인매장,11102,,,0
2025-01,SNS광고,8958,157.0,2.0,0
2025-01,검색광고,4010,200.0,11.0,0
2025-01,자사앱푸시,734,248.0,20.0,0
2025-01,지인추천,10981,,,3
2025-01,제휴사,32258,,,1
2025-01,오프라인매장,29789,,,1
2025-02,SNS광고,232522,18678.0,447.0,2
2025-02,검색광고,213327,12055.0,718.0,4
2025-02,자사앱푸시,9105,2594.0,297.0,1
2025-02,지인추천,1133,,,0
2025-02,제휴사,154,,,0
2025-02,오프라인매장,12172,,,0
2025-03,SNS광고,25478,470.0,9.0,0
2025-03,검색광고,64877,4036.0,178.0,2
2025-03,자사앱푸시,7613,2380.0,219.0,1
2025-03,지인추천,2785,,,1
2025-03,제휴사,11875,,,0
2025-03,오프라인매장,16626,,,0
2025-04,SNS광고,269664,15477.0,302.0,2
2025-04,검색광고,16985,975.0,61.0,0
2025-04,자사앱푸시,8134,2795.0,235.0,1
2025-04,지인추천,144,,,0
2025-04,제휴사,12444,,,0
2025-04,오프라인매장,13382,,,0
2025-05,SNS광고,111979,9149.0,187.0,1
2025-05,검색광고,57540,3323.0,222.0,1
2025-05,자사앱푸시,4167,1191.0,128.0,0
2025-05,지인추천,2754,,,1
2025-05,제휴사,48,,,0
2025-05,오프라인매장,42193,,,1
2025-06,SNS광고,294243,14996.0,291.0,2
2025-06,검색광고,64199,3782.0,257.0,1
2025-06,자사앱푸시,12344,3650.0,288.0,1
2025-06,지인추천,128,,,0
2025-06,제휴사,11781,,,0
2025-06,오프라인매장,39472,,,1
2025-07,SNS광고,851203,43758.0,852.0,5
2025-07,검색광고,107667,5046.0,218.0,2
2025-07,자사앱푸시,23741,7278.0,720.0,2
2025-07,지인추천,1285,,,0
2025-07,제휴사,6160,,,0
2025-07,오프라인매장,6507,,,0
2025-08,SNS광고,326463,15153.0,368.0,2
2025-08,검색광고,40210,2457.0,165.0,1
2025-08,자사앱푸시,1027,386.0,36.0,0
2025-08,지인추천,2527,,,1
2025-08,제휴사,50361,,,2
2025-08,오프라인매장,6925,,,0
2025-09,SNS광고,140628,7289.0,145.0,1
2025-09,검색광고,17329,950.0,50.0,0
2025-09,자사앱푸시,23634,7190.0,772.0,2
2025-09,지인추천,3451,,,1
2025-09,제휴사,9499,,,0
2025-09,오프라인매장,59335,,,1
2025-10,SNS광고,318577,15621.0,383.0,2
2025-10,검색광고,21965,1257.0,83.0,0
2025-10,자사앱푸시,11486,3736.0,399.0,1
2025-10,지인추천,6834,,,2
2025-10,제휴사,11586,,,0
2025-10,오프라인매장,13571,,,0
2025-11,SNS광고,16933,372.0,6.0,0
2025-11,검색광고,58818,2963.0,162.0,1
2025-11,자사앱푸시,11736,4375.0,292.0,1
2025-11,지인추천,8431,,,2
2025-11,제휴사,33731,,,1
2025-11,오프라인매장,10734,,,0
2025-12,SNS광고,377309,24789.0,520.0,3
2025-12,검색광고,42459,2295.0,150.0,1
2025-12,자사앱푸시,9868,3132.0,332.0,1
2025-12,지인추천,222,,,0
2025-12,제휴사,3566,,,0
2025-12,오프라인매장,5730,,,0
