customer_id,acquisition_channel,acquisition_campaign,acquisition_cost,signup_device
CUST00047,SNS광고,SNS광고_시즌프로모션,107420,모바일앱
CUST00212,검색광고,검색광고_2024_A,59680,모바일웹
CUST00293,자사앱푸시,자사앱푸시_2024_B,3271,모바일앱
CUST00177,SNS광고,SNS광고_시즌프로모션,152521,모바일앱
CUST00138,지인추천,,1455,PC웹
CUST00214,자사앱푸시,자사앱푸시_시즌프로모션,10477,모바일앱
CUST00292,검색광고,검색광고_2024_B,77139,모바일앱
CUST00305,검색광고,검색광고_2024_B,46435,모바일웹
CUST00106,지인추천,,3647,PC웹
CUST00236,SNS광고,SNS광고_2024_B,158204,모바일앱
CUST00173,제휴사,,23967,모바일앱
CUST00014,SNS광고,SNS광고_2024_A,163418,PC웹
CUST00154,SNS광고,SNS광고_시즌프로모션,112951,모바일웹
CUST00382,SNS광고,SNS광고_2024_B,123974,PC웹
CUST00062,지인추천,,3041,모바일앱
CUST00399,SNS광고,SNS광고_2024_B,150399,모바일웹
CUST00067,자사앱푸시,자사앱푸시_시즌프로모션,11104,모바일앱
CUST00347,검색광고,검색광고_시즌프로모션,89914,모바일앱
CUST00223,지인추천,,4022,모바일웹
CUST00064,자사앱푸시,자사앱푸시_2024_B,9269,모바일앱
CUST00060,제휴사,,13784,모바일앱
CUST00054,SNS광고,SNS광고_2024_A,93955,모바일앱
CUST00107,자사앱푸시,자사앱푸시_2024_B,10310,모바일웹
CUST00389,지인추천,,1911,PC웹
CUST00198,지인추천,,2938,모바일앱
CUST00348,SNS광고,SNS광고_2024_A,166078,PC웹
CUST00361,제휴사,,20363,모바일웹
CUST00286,지인추천,,3432,PC웹
CUST00260,지인추천,,3271,모바일앱
CUST00282,오프라인매장,,45844,모바일웹
CUST00243,지인추천,,3474,PC웹
CUST00072,SNS광고,SNS광고_2024_A,168240,모바일앱
CUST00325,지인추천,,2817,모바일앱
CUST00300,제휴사,,11048,모바일웹
CUST00128,오프라인매장,,30213,모바일웹
CUST00147,오프라인매장,,39860,모바일웹
CUST00262,지인추천,,2700,모바일웹
CUST00400,검색광고,검색광고_시즌프로모션,71338,모바일앱
CUST00027,SNS광고,SNS광고_시즌프로모션,123069,모바일앱
CUST00082,SNS광고,SNS광고_2024_B,146567,모바일웹
CUST00329,오프라인매장,,37951,모바일앱
CUST00192,자사앱푸시,자사앱푸시_시즌프로모션,5298,모바일앱
CUST00397,자사앱푸시,자사앱푸시_2024_A,8104,PC웹
CUST00020,검색광고,검색광고_시즌프로모션,34267,모바일앱
CUST00033,SNS광고,SNS광고_2024_A,113580,PC웹
CUST00022,검색광고,검색광고_2024_A,27536,모바일앱
CUST00059,지인추천,,2476,모바일앱
CUST00344,오프라인매장,,35162,모바일앱
CUST00335,자사앱푸시,자사앱푸시_2024_A,10069,모바일웹
CUST00092,지인추천,,3153,PC웹
CUST00257,SNS광고,SNS광고_2024_B,138002,모바일웹
CUST00369,지인추천,,3647,모바일웹
CUST00294,지인추천,,3680,모바일앱
CUST00088,검색광고,검색광고_시즌프로모션,53032,모바일앱
CUST00268,제휴사,,39538,모바일앱
CUST00061,검색광고,검색광고_2024_B,57402,모바일앱
CUST00380,검색광고,검색광고_시즌프로모션,42315,모바일웹
CUST00004,SNS광고,SNS광고_2024_B,160986,모바일앱
CUST00204,제휴사,,13873,모바일웹
CUST00142,오프라인매장,,34591,모바일앱
CUST00311,SNS광고,SNS광고_2024_B,139738,모바일앱
CUST00276,SNS광고,SNS광고_2024_B,116326,모바일웹
CUST00176,자사앱푸시,자사앱푸시_2024_B,7982,모바일웹
CUST00124,SNS광고,SNS광고_2024_B,171670,모바일웹
CUST00278,검색광고,검색광고_2024_A,70957,모바일웹
CUST00028,제휴사,,43183,모바일앱
CUST00167,SNS광고,SNS광고_2024_B,200162,PC웹
CUST00093,제휴사,,29065,모바일앱
CUST00244,SNS광고,SNS광고_2024_A,144035,모바일앱
CUST00037,오프라인매장,,37781,모바일앱
CUST00065,검색광고,검색광고_시즌프로모션,64187,모바일앱
CUST00336,SNS광고,SNS광고_시즌프로모션,187985,모바일앱
CUST00326,검색광고,검색광고_2024_A,61809,모바일앱
CUST00353,지인추천,,3554,모바일웹
CUST00331,오프라인매장,,43972,모바일웹
CUST00070,지인추천,,1853,모바일앱
CUST00029,SNS광고,SNS광고_2024_A,181331,모바일앱
CUST00018,검색광고,검색광고_2024_B,16500,PC웹
CUST00185,지인추천,,4594,모바일웹
CUST00354,SNS광고,SNS광고_시즌프로모션,130414,모바일웹
CUST00055,SNS광고,SNS광고_시즌프로모션,139593,모바일웹
CUST00251,제휴사,,24397,모바일앱
CUST00001,검색광고,검색광고_2024_B,60169,모바일앱
CUST00283,SNS광고,SNS광고_2024_A,181423,PC웹
CUST00017,검색광고,검색광고_2024_A,40447,PC웹
CUST00372,검색광고,검색광고_시즌프로모션,52129,모바일앱
CUST00289,자사앱푸시,자사앱푸시_2024_A,7893,모바일웹
CUST00110,오프라인매장,,51098,모바일앱
CUST00157,SNS광고,SNS광고_2024_A,137338,모바일앱
CUST00076,오프라인매장,,42617,모바일앱
CUST00377,제휴사,,14039,모바일앱
CUST00013,오프라인매장,,41534,모바일웹
CUST00338,자사앱푸시,자사앱푸시_2024_A,3014,모바일앱
CUST00365,자사앱푸시,자사앱푸시_2024_A,6934,모바일웹
CUST00199,검색광고,검색광고_2024_B,52311,모바일웹
CUST00314,검색광고,검색광고_시즌프로모션,58050,모바일앱
CUST00269,SNS광고,SNS광고_시즌프로모션,174739,모바일웹
CUST00227,지인추천,,3289,모바일웹
CUST00119,오프라인매장,,72420,모바일앱
CUST00008,제휴사,,22850,모바일웹
CUST00208,SNS광고,SNS광고_2024_B,113870,모바일앱
CUST00217,SNS광고,SNS광고_2024_A,118892,PC웹
CUST00197,지인추천,,2935,모바일앱
CUST00158,검색광고,검색광고_2024_B,68502,모바일앱
CUST00003,검색광고,검색광고_2024_B,52605,모바일앱
CUST00179,검색광고,검색광고_시즌프로모션,57819,모바일웹
CUST00019,제휴사,,24524,모바일앱
CUST00357,지인추천,,2270,모바일웹
CUST00267,검색광고,검색광고_시즌프로모션,33177,모바일앱
CUST00213,자사앱푸시,자사앱푸시_2024_B,8368,PC웹
CUST00371,SNS광고,SNS광고_2024_A,65652,모바일웹
CUST00016,지인추천,,2149,모바일앱
CUST00255,SNS광고,SNS광고_시즌프로모션,219905,모바일앱
CUST00248,검색광고,검색광고_시즌프로모션,42438,PC웹
CUST00273,SNS광고,SNS광고_2024_B,107216,모바일앱
CUST00073,SNS광고,SNS광고_시즌프로모션,213745,모바일앱
CUST00358,오프라인매장,,28178,모바일앱
CUST00250,자사앱푸시,자사앱푸시_시즌프로모션,7940,모바일앱
CUST00155,검색광고,검색광고_시즌프로모션,67189,PC웹
CUST00121,제휴사,,28607,모바일웹
CUST00195,제휴사,,33921,모바일웹
CUST00229,검색광고,검색광고_2024_B,45450,PC웹
CUST00190,제휴사,,30340,모바일앱
CUST00280,오프라인매장,,27772,모바일앱
CUST00116,SNS광고,SNS광고_시즌프로모션,113799,모바일웹
CUST00156,지인추천,,3212,PC웹
CUST00134,SNS광고,SNS광고_시즌프로모션,105107,모바일웹
CUST00086,지인추천,,3069,모바일앱
CUST00396,자사앱푸시,자사앱푸시_2024_A,12627,모바일앱
CUST00166,SNS광고,SNS광고_시즌프로모션,159411,모바일웹
CUST00188,자사앱푸시,자사앱푸시_시즌프로모션,10177,PC웹
CUST00274,제휴사,,34538,모바일앱
CUST00313,자사앱푸시,자사앱푸시_2024_B,2968,모바일앱
CUST00099,SNS광고,SNS광고_시즌프로모션,239226,모바일웹
CUST00077,검색광고,검색광고_2024_A,50342,모바일앱
CUST00122,SNS광고,SNS광고_시즌프로모션,143352,모바일앱
CUST00184,지인추천,,3267,모바일웹
CUST00127,오프라인매장,,56390,PC웹
CUST00245,지인추천,,3020,모바일앱
CUST00232,지인추천,,2800,모바일웹
CUST00042,SNS광고,SNS광고_2024_A,89426,모바일앱
CUST00178,검색광고,검색광고_2024_A,49143,모바일앱
CUST00168,검색광고,검색광고_2024_B,80018,모바일앱
CUST00317,지인추천,,3311,모바일앱
CUST00235,지인추천,,2291,모바일웹
CUST00021,지인추천,,3748,모바일앱
CUST00012,SNS광고,SNS광고_시즌프로모션,90781,모바일앱
CUST00301,검색광고,검색광고_시즌프로모션,49864,PC웹
CUST00135,자사앱푸시,자사앱푸시_2024_B,4735,PC웹
CUST00307,검색광고,검색광고_2024_A,47159,모바일웹
CUST00164,오프라인매장,,57418,모바일웹
CUST00392,자사앱푸시,자사앱푸시_시즌프로모션,7215,모바일앱
CUST00266,검색광고,검색광고_2024_A,60240,PC웹
CUST00068,SNS광고,SNS광고_2024_A,163478,모바일웹
CUST00075,SNS광고,SNS광고_2024_B,144157,모바일앱
CUST00145,검색광고,검색광고_시즌프로모션,64376,모바일웹
CUST00182,지인추천,,2595,모바일앱
CUST00146,제휴사,,30535,모바일앱
CUST00345,자사앱푸시,자사앱푸시_시즌프로모션,7852,PC웹
CUST00103,SNS광고,SNS광고_시즌프로모션,160992,모바일앱
CUST00249,제휴사,,9237,모바일앱
CUST00196,SNS광고,SNS광고_2024_B,122615,모바일앱
CUST00050,SNS광고,SNS광고_시즌프로모션,116272,모바일앱
CUST00206,지인추천,,3679,모바일앱
CUST00277,지인추천,,2178,모바일앱
CUST00381,SNS광고,SNS광고_2024_B,186721,모바일웹
CUST00130,검색광고,검색광고_시즌프로모션,41341,모바일앱
CUST00153,오프라인매장,,55769,모바일앱
CUST00083,자사앱푸시,자사앱푸시_2024_A,10754,PC웹
CUST00118,SNS광고,SNS광고_2024_A,149577,모바일앱
CUST00233,자사앱푸시,자사앱푸시_2024_B,5091,모바일앱
CUST00215,SNS광고,SNS광고_2024_B,137716,모바일앱
CUST00023,SNS광고,SNS광고_시즌프로모션,189480,모바일앱
CUST00078,SNS광고,SNS광고_시즌프로모션,97617,모바일앱
CUST00261,SNS광고,SNS광고_시즌프로모션,159890,PC웹
CUST00349,자사앱푸시,자사앱푸시_2024_B,6149,모바일웹
CUST00281,SNS광고,SNS광고_2024_B,152039,모바일앱
CUST00254,검색광고,검색광고_2024_A,52184,모바일앱
CUST00258,SNS광고,SNS광고_시즌프로모션,177221,모바일앱
CUST00096,검색광고,검색광고_시즌프로모션,30701,모바일앱
CUST00079,오프라인매장,,62252,모바일웹
CUST00284,지인추천,,1598,모바일앱
CUST00394,SNS광고,SNS광고_2024_B,182579,모바일웹
CUST00339,자사앱푸시,자사앱푸시_시즌프로모션,10290,PC웹
CUST00207,자사앱푸시,자사앱푸시_시즌프로모션,9028,PC웹
CUST00048,검색광고,검색광고_시즌프로모션,39773,PC웹
CUST00367,자사앱푸시,자사앱푸시_2024_B,11840,모바일웹
CUST00074,검색광고,검색광고_2024_B,67825,모바일웹
CUST00210,지인추천,,3774,모바일앱
CUST00044,지인추천,,3418,모바일앱
CUST00362,검색광고,검색광고_시즌프로모션,60111,모바일앱
CUST00051,자사앱푸시,자사앱푸시_시즌프로모션,9209,모바일웹
CUST00105,오프라인매장,,68181,모바일웹
CUST00318,검색광고,검색광고_2024_A,75388,PC웹
CUST00036,SNS광고,SNS광고_2024_A,197271,모바일앱
CUST00253,제휴사,,17345,모바일앱
CUST00290,자사앱푸시,자사앱푸시_2024_A,9150,PC웹
CUST00186,SNS광고,SNS광고_시즌프로모션,148208,PC웹
CUST00034,오프라인매장,,58730,모바일앱
CUST00056,지인추천,,3074,PC웹
CUST00263,검색광고,검색광고_2024_A,51956,모바일웹
CUST00095,지인추천,,2794,모바일앱
CUST00057,SNS광고,SNS광고_2024_A,106238,모바일웹
CUST00333,지인추천,,1649,모바일앱
CUST00386,오프라인매장,,59948,모바일앱
CUST00091,SNS광고,SNS광고_2024_A,185904,모바일앱
CUST00211,지인추천,,2308,모바일웹
CUST00189,SNS광고,SNS광고_시즌프로모션,162061,모바일웹
CUST00100,SNS광고,SNS광고_시즌프로모션,188499,모바일웹
CUST00366,SNS광고,SNS광고_2024_A,106452,모바일앱
CUST00341,자사앱푸시,자사앱푸시_2024_B,8494,모바일웹
CUST00342,SNS광고,SNS광고_2024_B,158850,모바일앱
CUST00388,제휴사,,27180,모바일앱
CUST00143,검색광고,검색광고_2024_B,58661,모바일앱
CUST00247,검색광고,검색광고_2024_A,37908,모바일앱
CUST00043,오프라인매장,,34055,모바일앱
CUST00101,SNS광고,SNS광고_2024_A,84835,PC웹
CUST00218,자사앱푸시,자사앱푸시_2024_B,9077,모바일웹
CUST00291,검색광고,검색광고_2024_B,16500,모바일웹
CUST00309,제휴사,,35930,모바일앱
CUST00360,오프라인매장,,43442,PC웹
CUST00108,지인추천,,2273,모바일앱
CUST00193,SNS광고,SNS광고_2024_B,199961,모바일앱
CUST00370,검색광고,검색광고_시즌프로모션,83575,모바일앱
CUST00304,SNS광고,SNS광고_시즌프로모션,211379,모바일앱
CUST00272,검색광고,검색광고_시즌프로모션,60482,모바일웹
CUST00097,지인추천,,3495,모바일앱
CUST00006,자사앱푸시,자사앱푸시_2024_B,11422,모바일앱
CUST00025,SNS광고,SNS광고_시즌프로모션,181801,모바일앱
CUST00080,SNS광고,SNS광고_시즌프로모션,159750,모바일앱
CUST00220,지인추천,,3197,모바일앱
CUST00085,SNS광고,SNS광고_2024_A,173330,모바일앱
CUST00169,SNS광고,SNS광고_2024_B,99519,PC웹
CUST00350,검색광고,검색광고_시즌프로모션,44597,모바일앱
CUST00219,검색광고,검색광고_2024_B,34867,모바일앱
CUST00149,SNS광고,SNS광고_2024_B,148369,모바일앱
CUST00183,SNS광고,SNS광고_2024_A,114723,모바일웹
CUST00373,자사앱푸시,자사앱푸시_시즌프로모션,4270,모바일앱
CUST00041,지인추천,,2891,모바일앱
CUST00159,제휴사,,24276,PC웹
CUST00368,자사앱푸시,자사앱푸시_2024_A,9563,PC웹
CUST00231,SNS광고,SNS광고_시즌프로모션,108980,모바일앱
CUST00237,자사앱푸시,자사앱푸시_시즌프로모션,9722,모바일웹
CUST00187,검색광고,검색광고_2024_A,17474,모바일웹
CUST00115,SNS광고,SNS광고_2024_B,120843,모바일앱
CUST00327,제휴사,,25270,모바일앱
CUST00324,지인추천,,3634,모바일웹
CUST00363,제휴사,,18963,모바일앱
CUST00026,검색광고,검색광고_2024_B,31965,모바일앱
CUST00136,SNS광고,SNS광고_2024_A,153589,모바일앱
CUST00271,오프라인매장,,40533,모바일앱
CUST00390,SNS광고,SNS광고_시즌프로모션,142109,모바일앱
CUST00151,SNS광고,SNS광고_2024_A,152447,모바일앱
CUST00049,제휴사,,27779,모바일앱
CUST00351,SNS광고,SNS광고_시즌프로모션,128224,모바일웹
CUST00298,지인추천,,3710,PC웹
CUST00202,검색광고,검색광고_2024_B,40556,모바일앱
CUST00376,검색광고,검색광고_2024_B,26788,모바일앱
CUST00295,자사앱푸시,자사앱푸시_2024_A,6832,모바일웹
CUST00379,오프라인매장,,46006,모바일앱
CUST00117,검색광고,검색광고_시즌프로모션,52454,모바일앱
CUST00180,SNS광고,SNS광고_2024_B,141870,모바일앱
CUST00144,SNS광고,SNS광고_2024_A,165691,모바일앱
CUST00256,SNS광고,SNS광고_2024_A,207658,모바일웹
CUST00319,검색광고,검색광고_2024_A,37737,모바일앱
CUST00226,SNS광고,SNS광고_2024_B,182910,PC웹
CUST00133,자사앱푸시,자사앱푸시_2024_A,11215,모바일웹
CUST00275,SNS광고,SNS광고_시즌프로모션,192010,모바일앱
CUST00391,SNS광고,SNS광고_2024_B,161754,PC웹
CUST00330,검색광고,검색광고_시즌프로모션,60743,모바일앱
CUST00165,SNS광고,SNS광고_시즌프로모션,165811,PC웹
CUST00321,검색광고,검색광고_2024_B,37563,모바일앱
CUST00242,지인추천,,2561,모바일웹
CUST00148,제휴사,,24986,모바일웹
CUST00240,SNS광고,SNS광고_2024_A,206590,PC웹
CUST00120,지인추천,,2198,모바일웹
CUST00102,자사앱푸시,자사앱푸시_2024_B,8910,모바일앱
CUST00306,SNS광고,SNS광고_시즌프로모션,124023,모바일앱
CUST00084,검색광고,검색광고_2024_B,55519,모바일웹
CUST00058,제휴사,,26561,PC웹
CUST00264,SNS광고,SNS광고_2024_A,115010,모바일웹
CUST00150,지인추천,,3673,모바일웹
CUST00174,지인추천,,1908,모바일앱
CUST00359,자사앱푸시,자사앱푸시_2024_B,10158,모바일앱
CUST00171,SNS광고,SNS광고_2024_B,175745,모바일웹
CUST00200,오프라인매장,,55583,모바일앱
CUST00205,검색광고,검색광고_시즌프로모션,59965,PC웹
CUST00332,제휴사,,22881,모바일웹
CUST00209,SNS광고,SNS광고_시즌프로모션,180469,PC웹
CUST00259,지인추천,,4156,모바일웹
CUST00152,SNS광고,SNS광고_시즌프로모션,146159,모바일웹
CUST00201,지인추천,,2984,PC웹
CUST00140,SNS광고,SNS광고_2024_B,178831,모바일웹
CUST00374,제휴사,,19894,모바일앱
CUST00310,SNS광고,SNS광고_2024_A,172186,모바일앱
CUST00203,검색광고,검색광고_2024_A,65051,모바일웹
CUST00031,자사앱푸시,자사앱푸시_2024_A,10890,모바일앱
CUST00094,지인추천,,3909,모바일웹
CUST00395,SNS광고,SNS광고_2024_A,92071,모바일앱
CUST00285,제휴사,,17852,모바일앱
CUST00320,지인추천,,2708,모바일앱
CUST00011,SNS광고,SNS광고_2024_A,171689,PC웹
CUST00230,자사앱푸시,자사앱푸시_시즌프로모션,10024,모바일앱
CUST00066,SNS광고,SNS광고_시즌프로모션,76221,모바일웹
CUST00111,지인추천,,2925,모바일웹
CUST00113,제휴사,,32318,PC웹
CUST00337,SNS광고,SNS광고_시즌프로모션,157097,모바일웹
CUST00002,제휴사,,28396,모바일앱
CUST00375,검색광고,검색광고_시즌프로모션,54979,모바일앱
CUST00225,SNS광고,SNS광고_2024_B,178198,PC웹
CUST00288,SNS광고,SNS광고_시즌프로모션,116582,모바일앱
CUST00112,SNS광고,SNS광고_2024_B,153567,모바일앱
CUST00046,검색광고,검색광고_2024_B,42111,PC웹
CUST00081,검색광고,검색광고_시즌프로모션,40665,PC웹
CUST00221,오프라인매장,,33098,모바일웹
CUST00270,SNS광고,SNS광고_2024_A,153837,모바일앱
CUST00340,SNS광고,SNS광고_2024_B,201520,모바일웹
CUST00297,지인추천,,3187,모바일앱
CUST00346,검색광고,검색광고_2024_B,61670,모바일앱
CUST00296,제휴사,,21804,PC웹
CUST00287,제휴사,,20489,모바일앱
CUST00398,SNS광고,SNS광고_2024_B,112481,모바일웹
CUST00063,지인추천,,3911,모바일앱
CUST00302,SNS광고,SNS광고_2024_B,143109,모바일앱
CUST00228,검색광고,검색광고_2024_A,31108,모바일앱
CUST00364,자사앱푸시,자사앱푸시_2024_A,9566,모바일웹
CUST00035,SNS광고,SNS광고_2024_B,129469,PC웹
CUST00343,SNS광고,SNS광고_시즌프로모션,158531,모바일웹
CUST00172,검색광고,검색광고_2024_A,55928,PC웹
