event_id,customer_id,event_date,days_since_signup,feature,signup_device
PE00133,CUST00048,2020-06-13,27,장바구니담기,PC웹
PE00134,CUST00049,2019-04-25,3,쿠폰다운로드,모바일앱
PE00135,CUST00049,2019-05-02,10,자동결제등록,모바일앱
PE00136,CUST00049,2019-05-06,14,첫주문,모바일앱
PE00137,CUST00050,2025-10-24,15,위시리스트추가,모바일앱
PE00138,CUST00050,2025-10-25,16,쿠폰다운로드,모바일앱
PE00139,CUST00050,2025-10-27,18,첫주문,모바일앱
PE00140,CUST00050,2025-10-28,19,쿠폰다운로드,모바일앱
PE00141,CUST00050,2025-11-01,23,장바구니담기,모바일앱
PE00142,CUST00050,2025-11-05,27,앱푸시동의,모바일앱
PE00143,CUST00052,2025-10-24,3,첫주문,모바일앱
PE00144,CUST00052,2025-10-30,9,장바구니담기,모바일앱
PE00145,CUST00053,2025-11-14,17,장바구니담기,모바일웹
PE00146,CUST00054,2019-05-04,3,앱푸시동의,모바일앱
PE00147,CUST00054,2019-05-08,7,리뷰작성,모바일앱
PE00148,CUST00054,2019-05-10,9,리뷰작성,모바일앱
PE00149,CUST00054,2019-05-20,19,리뷰작성,모바일앱
PE00150,CUST00054,2019-05-24,23,리뷰작성,모바일앱
PE00151,CUST00055,2021-08-09,3,첫주문,모바일웹
PE00152,CUST00056,2021-10-21,5,첫주문,PC웹
PE00153,CUST00057,2024-10-15,3,첫주문,모바일웹
PE00154,CUST00057,2024-10-16,4,앱푸시동의,모바일웹
PE00155,CUST00057,2024-10-22,10,쿠폰다운로드,모바일웹
PE00156,CUST00058,2023-12-13,4,첫주문,PC웹
PE00157,CUST00058,2023-12-20,11,장바구니담기,PC웹
PE00158,CUST00059,2025-03-14,1,위시리스트추가,모바일앱
PE00159,CUST00059,2025-03-17,4,첫주문,모바일앱
PE00160,CUST00059,2025-03-27,14,장바구니담기,모바일앱
PE00161,CUST00059,2025-04-01,19,자동결제등록,모바일앱
PE00162,CUST00060,2019-05-23,5,첫주문,모바일앱
PE00163,CUST00061,2024-05-10,20,앱푸시동의,모바일앱
PE00164,CUST00061,2024-05-14,24,첫주문,모바일앱
PE00165,CUST00062,2022-06-06,2,첫주문,모바일앱
PE00166,CUST00062,2022-06-08,4,리뷰작성,모바일앱
PE00167,CUST00062,2022-06-12,8,쿠폰다운로드,모바일앱
PE00168,CUST00062,2022-06-15,11,리뷰작성,모바일앱
PE00169,CUST00063,2024-03-28,1,첫주문,모바일앱
PE00170,CUST00063,2024-03-28,1,자동결제등록,모바일앱
PE00171,CUST00064,2025-09-08,1,첫주문,모바일앱
PE00172,CUST00064,2025-09-11,4,위시리스트추가,모바일앱
PE00173,CUST00064,2025-09-12,5,자동결제등록,모바일앱
PE00174,CUST00065,2023-01-10,0,첫주문,모바일앱
PE00175,CUST00065,2023-01-10,0,앱푸시동의,모바일앱
PE00176,CUST00065,2023-01-26,16,앱푸시동의,모바일앱
PE00177,CUST00065,2023-01-29,19,장바구니담기,모바일앱
PE00178,CUST00065,2023-02-03,24,자동결제등록,모바일앱
PE00179,CUST00066,2025-12-21,4,첫주문,모바일웹
PE00180,CUST00066,2025-12-31,14,자동결제등록,모바일웹
PE00181,CUST00067,2019-03-22,5,리뷰작성,모바일앱
PE00182,CUST00068,2023-03-21,5,첫주문,모바일웹
PE00183,CUST00068,2023-04-03,18,쿠폰다운로드,모바일웹
PE00184,CUST00068,2023-04-04,19,앱푸시동의,모바일웹
PE00185,CUST00069,2020-11-13,3,첫주문,모바일앱
PE00186,CUST00069,2020-12-02,22,장바구니담기,모바일앱
PE00187,CUST00069,2020-12-07,27,위시리스트추가,모바일앱
PE00188,CUST00070,2020-02-21,2,첫주문,모바일앱
PE00189,CUST00072,2025-07-11,4,첫주문,모바일앱
PE00190,CUST00072,2025-07-25,18,앱푸시동의,모바일앱
PE00191,CUST00073,2020-12-29,0,첫주문,모바일앱
PE00192,CUST00073,2020-12-31,2,장바구니담기,모바일앱
PE00193,CUST00073,2021-01-04,6,리뷰작성,모바일앱
PE00194,CUST00073,2021-01-06,8,장바구니담기,모바일앱
PE00195,CUST00073,2021-01-07,9,장바구니담기,모바일앱
PE00196,CUST00074,2024-11-29,3,첫주문,모바일웹
PE00197,CUST00074,2024-12-04,8,자동결제등록,모바일웹
PE00198,CUST00074,2024-12-11,15,앱푸시동의,모바일웹
PE00199,CUST00075,2022-12-20,2,첫주문,모바일앱
PE00200,CUST00076,2022-03-27,0,첫주문,모바일앱
PE00201,CUST00076,2022-04-02,6,리뷰작성,모바일앱
PE00202,CUST00077,2025-05-11,0,첫주문,모바일앱
PE00203,CUST00077,2025-05-13,2,리뷰작성,모바일앱
PE00204,CUST00077,2025-05-21,10,앱푸시동의,모바일앱
PE00205,CUST00078,2019-04-07,6,첫주문,모바일앱
PE00206,CUST00079,2023-07-18,0,쿠폰다운로드,모바일웹
PE00207,CUST00079,2023-07-19,1,첫주문,모바일웹
PE00208,CUST00079,2023-07-25,7,쿠폰다운로드,모바일웹
PE00209,CUST00079,2023-07-27,9,앱푸시동의,모바일웹
PE00210,CUST00079,2023-07-31,13,위시리스트추가,모바일웹
PE00211,CUST00079,2023-08-12,25,위시리스트추가,모바일웹
PE00212,CUST00080,2022-12-09,4,자동결제등록,모바일앱
PE00213,CUST00080,2022-12-10,5,첫주문,모바일앱
PE00214,CUST00080,2022-12-29,24,장바구니담기,모바일앱
PE00215,CUST00081,2021-11-15,1,위시리스트추가,PC웹
PE00216,CUST00081,2021-11-17,3,쿠폰다운로드,PC웹
PE00217,CUST00081,2021-11-20,6,자동결제등록,PC웹
PE00218,CUST00081,2021-12-10,26,첫주문,PC웹
PE00219,CUST00082,2019-09-16,4,첫주문,모바일웹
PE00220,CUST00082,2019-09-27,15,장바구니담기,모바일웹
PE00221,CUST00083,2025-06-11,10,첫주문,PC웹
PE00222,CUST00083,2025-06-30,29,위시리스트추가,PC웹
PE00223,CUST00084,2020-01-31,3,쿠폰다운로드,모바일웹
PE00224,CUST00084,2020-02-04,7,자동결제등록,모바일웹
PE00225,CUST00084,2020-02-12,15,리뷰작성,모바일웹
PE00226,CUST00084,2020-02-18,21,첫주문,모바일웹
PE00227,CUST00085,2020-06-05,0,첫주문,모바일앱
PE00228,CUST00085,2020-06-06,1,자동결제등록,모바일앱
PE00229,CUST00085,2020-06-08,3,쿠폰다운로드,모바일앱
PE00230,CUST00085,2020-06-11,6,자동결제등록,모바일앱
PE00231,CUST00085,2020-06-11,6,자동결제등록,모바일앱
PE00232,CUST00085,2020-06-17,12,리뷰작성,모바일앱
PE00233,CUST00085,2020-06-26,21,리뷰작성,모바일앱
PE00234,CUST00085,2020-07-04,29,자동결제등록,모바일앱
PE00235,CUST00086,2019-03-23,2,리뷰작성,모바일앱
PE00236,CUST00086,2019-03-27,6,첫주문,모바일앱
PE00237,CUST00086,2019-04-07,17,리뷰작성,모바일앱
PE00238,CUST00086,2019-04-15,25,장바구니담기,모바일앱
PE00239,CUST00086,2019-04-19,29,자동결제등록,모바일앱
PE00240,CUST00088,2025-11-07,0,첫주문,모바일앱
PE00241,CUST00088,2025-11-15,8,리뷰작성,모바일앱
PE00242,CUST00088,2025-11-21,14,위시리스트추가,모바일앱
PE00243,CUST00088,2025-11-27,20,장바구니담기,모바일앱
PE00244,CUST00088,2025-12-05,28,앱푸시동의,모바일앱
PE00245,CUST00090,2022-01-31,1,리뷰작성,모바일앱
PE00246,CUST00090,2022-02-04,5,위시리스트추가,모바일앱
PE00247,CUST00090,2022-02-05,6,첫주문,모바일앱
PE00248,CUST00090,2022-02-10,11,쿠폰다운로드,모바일앱
PE00249,CUST00090,2022-02-17,18,쿠폰다운로드,모바일앱
PE00250,CUST00091,2024-03-28,0,장바구니담기,모바일앱
PE00251,CUST00091,2024-04-02,5,첫주문,모바일앱
PE00252,CUST00091,2024-04-05,8,자동결제등록,모바일앱
PE00253,CUST00092,2021-02-07,6,첫주문,PC웹
PE00254,CUST00093,2023-11-08,2,위시리스트추가,모바일앱
PE00255,CUST00093,2023-11-12,6,첫주문,모바일앱
PE00256,CUST00093,2023-11-26,20,쿠폰다운로드,모바일앱
PE00257,CUST00094,2023-03-06,11,위시리스트추가,모바일웹
PE00258,CUST00094,2023-03-22,27,첫주문,모바일웹
PE00259,CUST00095,2019-02-08,7,장바구니담기,모바일앱
PE00260,CUST00095,2019-02-19,18,첫주문,모바일앱
PE00261,CUST00095,2019-02-23,22,장바구니담기,모바일앱
PE00262,CUST00096,2023-10-07,16,앱푸시동의,모바일앱
PE00263,CUST00096,2023-10-08,17,첫주문,모바일앱
PE00264,CUST00097,2021-07-04,1,첫주문,모바일앱
PE00265,CUST00097,2021-07-17,14,장바구니담기,모바일앱
PE00266,CUST00098,2023-09-19,3,자동결제등록,모바일웹
PE00267,CUST00098,2023-09-21,5,첫주문,모바일웹
PE00268,CUST00098,2023-10-06,20,장바구니담기,모바일웹
PE00269,CUST00099,2021-08-14,4,첫주문,모바일웹
PE00270,CUST00100,2020-08-18,0,장바구니담기,모바일웹
PE00271,CUST00100,2020-08-20,2,첫주문,모바일웹
PE00272,CUST00100,2020-09-04,17,앱푸시동의,모바일웹
PE00273,CUST00100,2020-09-11,24,위시리스트추가,모바일웹
PE00274,CUST00101,2021-06-06,8,앱푸시동의,PC웹
PE00275,CUST00101,2021-06-10,12,첫주문,PC웹
PE00276,CUST00102,2019-02-17,4,첫주문,모바일앱
PE00277,CUST00102,2019-02-27,14,자동결제등록,모바일앱
PE00278,CUST00103,2021-07-05,9,리뷰작성,모바일앱
PE00279,CUST00104,2021-06-04,2,첫주문,모바일웹
PE00280,CUST00105,2023-01-24,0,장바구니담기,모바일웹
PE00281,CUST00105,2023-02-17,24,첫주문,모바일웹
PE00282,CUST00105,2023-02-21,28,리뷰작성,모바일웹
PE00283,CUST00106,2020-04-11,3,첫주문,PC웹
PE00284,CUST00106,2020-04-14,6,장바구니담기,PC웹
PE00285,CUST00107,2025-07-07,4,장바구니담기,모바일웹
PE00286,CUST00107,2025-07-08,5,리뷰작성,모바일웹
PE00287,CUST00107,2025-07-09,6,쿠폰다운로드,모바일웹
PE00288,CUST00107,2025-07-10,7,자동결제등록,모바일웹
PE00289,CUST00107,2025-07-21,18,리뷰작성,모바일웹
PE00290,CUST00107,2025-07-31,28,첫주문,모바일웹
PE00291,CUST00107,2025-07-31,28,장바구니담기,모바일웹
PE00292,CUST00107,2025-07-31,28,리뷰작성,모바일웹
PE00293,CUST00108,2024-01-07,4,첫주문,모바일앱
PE00294,CUST00108,2024-01-19,16,앱푸시동의,모바일앱
PE00295,CUST00109,2024-04-29,2,위시리스트추가,PC웹
PE00296,CUST00109,2024-04-30,3,첫주문,PC웹
PE00297,CUST00109,2024-05-04,7,위시리스트추가,PC웹
PE00298,CUST00109,2024-05-21,24,쿠폰다운로드,PC웹
PE00299,CUST00109,2024-05-26,29,리뷰작성,PC웹
PE00300,CUST00110,2020-05-02,1,쿠폰다운로드,모바일앱
PE00301,CUST00110,2020-05-06,5,첫주문,모바일앱
PE00302,CUST00110,2020-05-10,9,리뷰작성,모바일앱
PE00303,CUST00110,2020-05-14,13,앱푸시동의,모바일앱
PE00304,CUST00110,2020-05-25,24,앱푸시동의,모바일앱
PE00305,CUST00111,2025-01-06,1,첫주문,모바일웹
PE00306,CUST00111,2025-01-06,1,쿠폰다운로드,모바일웹
PE00307,CUST00111,2025-01-15,10,쿠폰다운로드,모바일웹
PE00308,CUST00112,2024-08-22,6,첫주문,모바일앱
PE00309,CUST00113,2021-04-15,10,장바구니담기,PC웹
PE00310,CUST00113,2021-04-18,13,앱푸시동의,PC웹
PE00311,CUST00113,2021-04-23,18,첫주문,PC웹
PE00312,CUST00113,2021-04-30,25,앱푸시동의,PC웹
PE00313,CUST00114,2025-05-20,5,첫주문,모바일앱
PE00314,CUST00114,2025-05-21,6,앱푸시동의,모바일앱
PE00315,CUST00115,2021-04-25,0,첫주문,모바일앱
PE00316,CUST00115,2021-05-04,9,앱푸시동의,모바일앱
PE00317,CUST00115,2021-05-08,13,쿠폰다운로드,모바일앱
PE00318,CUST00115,2021-05-24,29,장바구니담기,모바일앱
PE00319,CUST00116,2025-04-04,3,첫주문,모바일웹
PE00320,CUST00116,2025-04-27,26,장바구니담기,모바일웹
PE00321,CUST00117,2023-11-26,0,첫주문,모바일앱
PE00322,CUST00117,2023-12-04,8,앱푸시동의,모바일앱
PE00323,CUST00118,2020-07-19,2,첫주문,모바일앱
PE00324,CUST00118,2020-07-27,10,앱푸시동의,모바일앱
PE00325,CUST00118,2020-08-02,16,장바구니담기,모바일앱
PE00326,CUST00118,2020-08-04,18,앱푸시동의,모바일앱
PE00327,CUST00118,2020-08-15,29,위시리스트추가,모바일앱
PE00328,CUST00119,2022-06-27,5,첫주문,모바일앱
PE00329,CUST00119,2022-07-19,27,위시리스트추가,모바일앱
PE00330,CUST00120,2024-08-22,2,첫주문,모바일웹
PE00331,CUST00120,2024-08-23,3,장바구니담기,모바일웹
PE00332,CUST00120,2024-08-23,3,자동결제등록,모바일웹
PE00333,CUST00120,2024-09-09,20,앱푸시동의,모바일웹
PE00334,CUST00121,2020-01-07,11,위시리스트추가,모바일웹
PE00335,CUST00121,2020-01-12,16,앱푸시동의,모바일웹
PE00336,CUST00122,2022-07-07,0,첫주문,모바일앱
PE00337,CUST00122,2022-07-13,6,자동결제등록,모바일앱
PE00338,CUST00122,2022-07-16,9,리뷰작성,모바일앱
PE00339,CUST00123,2021-04-12,3,첫주문,모바일앱
PE00340,CUST00123,2021-04-12,3,앱푸시동의,모바일앱
PE00341,CUST00124,2019-04-03,3,첫주문,모바일웹
PE00342,CUST00126,2025-02-05,1,장바구니담기,모바일웹
PE00343,CUST00126,2025-02-06,2,첫주문,모바일웹
PE00344,CUST00127,2022-11-26,6,첫주문,PC웹
PE00345,CUST00127,2022-11-28,8,앱푸시동의,PC웹
PE00346,CUST00127,2022-12-19,29,장바구니담기,PC웹
PE00347,CUST00128,2019-08-05,0,첫주문,모바일웹
PE00348,CUST00128,2019-08-05,0,리뷰작성,모바일웹
PE00349,CUST00128,2019-08-23,18,리뷰작성,모바일웹
PE00350,CUST00130,2023-02-14,1,장바구니담기,모바일앱
PE00351,CUST00130,2023-02-19,6,첫주문,모바일앱
PE00352,CUST00130,2023-02-25,12,리뷰작성,모바일앱
PE00353,CUST00130,2023-03-12,27,장바구니담기,모바일앱
PE00354,CUST00133,2024-01-14,6,첫주문,모바일웹
PE00355,CUST00133,2024-01-16,8,위시리스트추가,모바일웹
PE00356,CUST00133,2024-01-20,12,자동결제등록,모바일웹
PE00357,CUST00133,2024-02-02,25,쿠폰다운로드,모바일웹
PE00358,CUST00134,2025-02-22,0,장바구니담기,모바일웹
PE00359,CUST00134,2025-02-23,1,첫주문,모바일웹
PE00360,CUST00134,2025-02-26,4,리뷰작성,모바일웹
PE00361,CUST00135,2024-04-21,1,위시리스트추가,PC웹
PE00362,CUST00135,2024-04-25,5,첫주문,PC웹
PE00363,CUST00135,2024-05-01,11,장바구니담기,PC웹
PE00364,CUST00136,2021-09-12,2,리뷰작성,모바일앱
PE00365,CUST00136,2021-09-16,6,첫주문,모바일앱
PE00366,CUST00136,2021-10-04,24,자동결제등록,모바일앱
PE00367,CUST00138,2020-06-22,22,리뷰작성,PC웹
PE00368,CUST00140,2020-07-10,13,자동결제등록,모바일웹
PE00369,CUST00140,2020-07-16,19,장바구니담기,모바일웹
PE00370,CUST00140,2020-07-20,23,위시리스트추가,모바일웹
PE00371,CUST00141,2022-12-12,9,앱푸시동의,모바일앱
PE00372,CUST00141,2022-12-26,23,리뷰작성,모바일앱
PE00373,CUST00141,2022-12-28,25,장바구니담기,모바일앱
PE00374,CUST00142,2024-10-21,15,첫주문,모바일앱
PE00375,CUST00142,2024-10-25,19,위시리스트추가,모바일앱
PE00376,CUST00143,2024-11-18,4,쿠폰다운로드,모바일앱
PE00377,CUST00143,2024-12-01,17,자동결제등록,모바일앱
PE00378,CUST00143,2024-12-06,22,첫주문,모바일앱
PE00379,CUST00144,2021-01-19,13,첫주문,모바일앱
PE00380,CUST00144,2021-01-20,14,쿠폰다운로드,모바일앱
PE00381,CUST00145,2024-08-10,3,첫주문,모바일웹
PE00382,CUST00145,2024-09-03,27,위시리스트추가,모바일웹
PE00383,CUST00146,2025-08-07,0,첫주문,모바일앱
PE00384,CUST00147,2024-05-08,3,첫주문,모바일웹
PE00385,CUST00147,2024-05-21,16,장바구니담기,모바일웹
PE00386,CUST00147,2024-05-22,17,앱푸시동의,모바일웹
PE00387,CUST00147,2024-06-01,27,위시리스트추가,모바일웹
PE00388,CUST00148,2022-02-10,3,첫주문,모바일웹
PE00389,CUST00148,2022-02-27,20,위시리스트추가,모바일웹
PE00390,CUST00149,2020-09-18,3,첫주문,모바일앱
PE00391,CUST00149,2020-10-13,28,위시리스트추가,모바일앱
PE00392,CUST00150,2025-11-13,3,첫주문,모바일웹
PE00393,CUST00150,2025-12-01,21,리뷰작성,모바일웹
PE00394,CUST00151,2025-06-03,2,쿠폰다운로드,모바일앱
PE00395,CUST00151,2025-06-17,16,첫주문,모바일앱
PE00396,CUST00151,2025-06-24,23,앱푸시동의,모바일앱
PE00397,CUST00152,2021-04-01,0,장바구니담기,모바일웹
PE00398,CUST00152,2021-04-11,10,첫주문,모바일웹
PE00399,CUST00152,2021-04-14,13,리뷰작성,모바일웹
PE00400,CUST00153,2022-03-29,0,첫주문,모바일앱
PE00401,CUST00153,2022-04-06,8,위시리스트추가,모바일앱
PE00402,CUST00154,2024-04-13,5,첫주문,모바일웹
PE00403,CUST00155,2024-07-13,3,첫주문,PC웹
PE00404,CUST00155,2024-07-14,4,장바구니담기,PC웹
PE00405,CUST00155,2024-07-30,20,리뷰작성,PC웹
PE00406,CUST00156,2019-12-31,4,첫주문,PC웹
PE00407,CUST00156,2019-12-31,4,위시리스트추가,PC웹
PE00408,CUST00156,2020-01-07,11,앱푸시동의,PC웹
PE00409,CUST00156,2020-01-10,14,장바구니담기,PC웹
PE00410,CUST00157,2024-01-05,6,리뷰작성,모바일앱
PE00411,CUST00157,2024-01-12,13,첫주문,모바일앱
PE00412,CUST00157,2024-01-12,13,장바구니담기,모바일앱
PE00413,CUST00157,2024-01-22,23,위시리스트추가,모바일앱
PE00414,CUST00157,2024-01-27,28,장바구니담기,모바일앱
PE00415,CUST00157,2024-01-28,29,장바구니담기,모바일앱
PE00416,CUST00158,2022-06-23,2,위시리스트추가,모바일앱
PE00417,CUST00158,2022-07-07,16,첫주문,모바일앱
PE00418,CUST00159,2022-10-13,0,장바구니담기,PC웹
PE00419,CUST00159,2022-10-17,4,첫주문,PC웹
PE00420,CUST00160,2024-06-29,3,첫주문,모바일웹
PE00421,CUST00160,2024-07-15,19,위시리스트추가,모바일웹
PE00422,CUST00162,2025-09-25,14,앱푸시동의,모바일앱
PE00423,CUST00164,2023-08-09,3,첫주문,모바일웹
PE00424,CUST00164,2023-08-16,10,리뷰작성,모바일웹
PE00425,CUST00165,2019-03-03,15,첫주문,PC웹
PE00426,CUST00165,2019-03-13,25,앱푸시동의,PC웹
