usage_id,customer_id,year_month,order_count,purchase_amount,cart_add_count,review_count,app_login_count
EU00154,CUST00170,2024-04,1,67895,1,1,6
EU00155,CUST00170,2024-05,4,357592,8,1,15
EU00156,CUST00170,2024-06,4,465032,14,3,14
EU00157,CUST00170,2024-07,2,50678,11,0,11
EU00158,CUST00170,2024-08,2,82822,6,0,8
EU00159,CUST00170,2024-09,1,13268,4,1,16
EU00160,CUST00170,2024-10,0,0,1,0,8
EU00161,CUST00170,2024-11,1,78663,11,0,19
EU00162,CUST00170,2024-12,1,33060,6,1,5
EU00163,CUST00315,2024-01,3,428214,9,1,15
EU00164,CUST00315,2024-02,2,65866,8,2,16
EU00165,CUST00315,2024-03,0,0,4,0,14
EU00166,CUST00315,2024-04,2,249316,7,2,13
EU00167,CUST00315,2024-05,3,150183,8,0,13
EU00168,CUST00315,2024-06,2,215000,3,0,11
EU00169,CUST00315,2024-07,2,189666,2,2,13
EU00170,CUST00315,2024-08,3,273222,9,1,1
EU00171,CUST00315,2024-09,2,247008,5,0,15
EU00172,CUST00315,2024-10,0,0,3,0,16
EU00173,CUST00315,2024-11,3,118215,7,1,10
EU00174,CUST00315,2024-12,3,213549,5,3,24
EU00175,CUST00323,2024-01,0,0,0,0,14
EU00176,CUST00323,2024-02,1,45576,2,1,12
EU00177,CUST00323,2024-03,0,0,0,0,5
EU00178,CUST00323,2024-04,2,240694,12,2,5
EU00179,CUST00323,2024-05,4,301612,7,2,9
EU00180,CUST00323,2024-06,1,65608,2,1,19
EU00181,CUST00323,2024-07,1,137906,6,1,10
EU00182,CUST00323,2024-08,4,306712,12,0,12
EU00183,CUST00323,2024-09,1,127270,1,0,2
EU00184,CUST00323,2024-10,3,52296,14,0,4
EU00185,CUST00323,2024-11,4,480512,11,3,14
EU00186,CUST00323,2024-12,0,0,1,0,17
EU00187,CUST00030,2024-01,2,31708,11,2,14
EU00188,CUST00030,2024-02,2,179140,7,1,9
EU00189,CUST00030,2024-03,3,68853,9,1,9
EU00190,CUST00030,2024-04,1,127979,6,1,11
EU00191,CUST00030,2024-05,0,0,0,0,1
EU00192,CUST00030,2024-06,2,290748,8,2,7
EU00193,CUST00030,2024-07,1,148774,6,1,6
EU00194,CUST00030,2024-08,3,85047,7,3,8
EU00195,CUST00030,2024-09,4,226172,13,3,10
EU00196,CUST00030,2024-10,1,106219,3,0,6
EU00197,CUST00030,2024-11,3,264771,8,2,6
EU00198,CUST00030,2024-12,4,294944,15,2,6
EU00199,CUST00378,2024-06,2,293326,6,0,14
EU00200,CUST00378,2024-07,5,96015,12,1,11
EU00201,CUST00378,2024-08,1,28590,1,1,8
EU00202,CUST00378,2024-09,3,245847,8,0,6
EU00203,CUST00378,2024-10,3,361398,4,1,15
EU00204,CUST00378,2024-11,3,249036,7,3,17
EU00205,CUST00378,2024-12,0,0,1,0,11
EU00206,CUST00181,2024-01,1,100485,5,1,12
EU00207,CUST00181,2024-02,0,0,3,0,2
EU00208,CUST00181,2024-03,3,252363,8,1,8
EU00209,CUST00194,2024-01,1,143640,3,1,12
EU00210,CUST00194,2024-02,2,253688,7,2,6
EU00211,CUST00194,2024-03,3,278409,10,3,9
EU00212,CUST00194,2024-04,3,330204,11,3,10
EU00213,CUST00194,2024-05,2,203962,9,0,8
EU00214,CUST00194,2024-06,4,399112,17,0,14
EU00215,CUST00194,2024-07,4,233864,6,0,11
EU00216,CUST00194,2024-08,1,139992,1,1,11
EU00217,CUST00194,2024-09,2,31992,4,2,1
EU00218,CUST00194,2024-10,0,0,2,0,8
EU00219,CUST00194,2024-11,4,81080,14,2,18
EU00220,CUST00194,2024-12,1,149370,5,1,12
EU00221,CUST00328,2024-01,0,0,0,0,4
EU00222,CUST00328,2024-02,3,285279,11,3,15
EU00223,CUST00328,2024-03,1,33740,2,1,14
EU00224,CUST00328,2024-04,1,34853,1,0,2
EU00225,CUST00328,2024-05,2,146868,7,0,7
EU00226,CUST00328,2024-06,4,186292,13,2,13
EU00227,CUST00328,2024-07,0,0,1,0,9
EU00228,CUST00328,2024-08,0,0,0,0,8
EU00229,CUST00328,2024-09,4,592428,15,2,9
EU00230,CUST00328,2024-10,0,0,4,0,4
EU00231,CUST00328,2024-11,5,120650,18,3,11
EU00232,CUST00328,2024-12,1,51022,3,1,7
EU00233,CUST00355,2024-01,2,150146,7,1,5
EU00234,CUST00355,2024-02,2,90094,4,2,14
EU00235,CUST00355,2024-03,2,230718,6,1,19
EU00236,CUST00355,2024-04,3,258105,13,0,9
EU00237,CUST00355,2024-05,4,283256,9,3,6
EU00238,CUST00355,2024-06,3,439419,14,2,3
EU00239,CUST00355,2024-07,0,0,1,0,9
EU00240,CUST00355,2024-08,2,255234,9,0,0
EU00241,CUST00355,2024-09,2,79584,12,0,4
EU00242,CUST00355,2024-10,2,172626,6,2,13
EU00243,CUST00355,2024-11,3,195729,15,1,23
EU00244,CUST00355,2024-12,2,298510,5,1,5
EU00245,CUST00039,2024-01,4,289680,14,0,13
EU00246,CUST00039,2024-02,1,91508,7,1,15
EU00247,CUST00039,2024-03,0,0,4,0,8
EU00248,CUST00039,2024-04,3,334200,8,0,10
EU00249,CUST00039,2024-05,3,261390,11,1,10
EU00250,CUST00039,2024-06,0,0,0,0,10
EU00251,CUST00039,2024-07,2,84452,10,0,11
EU00252,CUST00039,2024-08,1,94195,6,1,6
EU00253,CUST00039,2024-09,1,68269,6,1,7
EU00254,CUST00039,2024-10,2,288954,6,1,8
EU00255,CUST00039,2024-11,3,235194,9,1,4
EU00256,CUST00039,2024-12,2,142734,5,2,19
EU00257,CUST00098,2024-01,4,193988,5,2,2
EU00258,CUST00098,2024-02,2,67132,6,2,10
EU00259,CUST00098,2024-03,3,197466,10,0,11
EU00260,CUST00098,2024-04,4,576136,15,0,14
EU00261,CUST00098,2024-05,2,137734,9,2,17
EU00262,CUST00098,2024-06,1,126002,8,1,10
EU00263,CUST00098,2024-07,3,275733,6,0,9
EU00264,CUST00098,2024-08,1,90772,3,1,10
EU00265,CUST00098,2024-09,2,28366,7,2,11
EU00266,CUST00098,2024-10,6,189954,13,0,8
EU00267,CUST00098,2024-11,2,242430,8,0,15
EU00268,CUST00098,2024-12,3,283323,6,1,9
EU00269,CUST00045,2024-01,2,67396,2,2,5
EU00270,CUST00045,2024-02,3,176109,8,3,21
EU00271,CUST00045,2024-03,2,188588,7,1,14
EU00272,CUST00045,2024-04,1,12471,1,1,7
EU00273,CUST00045,2024-05,3,423609,8,0,13
EU00274,CUST00045,2024-06,3,428352,11,1,4
EU00275,CUST00045,2024-07,2,176060,6,1,19
EU00276,CUST00045,2024-08,3,41520,5,2,16
EU00277,CUST00045,2024-09,3,58464,10,3,0
EU00278,CUST00045,2024-10,5,341625,14,1,16
EU00279,CUST00045,2024-11,2,290782,6,2,11
EU00280,CUST00045,2024-12,2,166462,7,2,5
EU00281,CUST00047,2024-05,4,109404,11,1,18
EU00282,CUST00047,2024-06,3,279174,8,2,12
EU00283,CUST00047,2024-07,4,249008,13,2,14
EU00284,CUST00047,2024-08,3,209550,11,2,17
EU00285,CUST00047,2024-09,2,234846,4,2,18
EU00286,CUST00047,2024-10,2,100928,5,2,11
EU00287,CUST00047,2024-11,4,262364,7,2,15
EU00288,CUST00047,2024-12,1,102829,8,1,3
EU00289,CUST00212,2024-01,0,0,0,0,10
EU00290,CUST00212,2024-02,2,38194,3,2,8
EU00291,CUST00212,2024-03,2,30956,6,2,7
EU00292,CUST00212,2024-04,3,281556,3,2,2
EU00293,CUST00212,2024-05,1,93102,6,1,21
EU00294,CUST00212,2024-06,2,25486,9,1,8
EU00295,CUST00212,2024-07,2,253256,7,2,7
EU00296,CUST00212,2024-08,3,337494,7,3,3
EU00297,CUST00212,2024-09,2,40960,7,2,16
EU00298,CUST00212,2024-10,1,17451,10,0,7
EU00299,CUST00212,2024-11,3,168768,5,2,14
EU00300,CUST00212,2024-12,0,0,1,0,13
EU00301,CUST00293,2024-01,4,91324,10,3,16
EU00302,CUST00293,2024-02,2,89910,7,1,6
EU00303,CUST00293,2024-03,3,320709,8,2,0
EU00304,CUST00293,2024-04,4,65688,14,1,14
EU00305,CUST00293,2024-05,2,216060,7,1,10
EU00306,CUST00293,2024-06,4,461088,10,0,7
EU00307,CUST00293,2024-07,2,139096,4,0,12
EU00308,CUST00293,2024-08,4,289780,12,1,5
EU00309,CUST00293,2024-09,0,0,0,0,15
EU00310,CUST00293,2024-10,1,125453,7,1,11
EU00311,CUST00293,2024-11,4,350384,6,2,16
EU00312,CUST00177,2024-01,2,125162,16,2,14
EU00313,CUST00177,2024-02,3,191211,10,2,6
EU00314,CUST00177,2024-03,2,51214,7,0,10
EU00315,CUST00177,2024-04,3,214005,8,1,11
EU00316,CUST00177,2024-05,3,32073,8,2,6
EU00317,CUST00177,2024-06,4,295524,10,2,2
EU00318,CUST00177,2024-07,3,204315,10,3,10
EU00319,CUST00177,2024-08,3,170844,10,3,12
EU00320,CUST00177,2024-09,1,46873,4,0,20
EU00321,CUST00177,2024-10,3,52245,13,1,18
EU00322,CUST00177,2024-11,1,21629,8,1,0
EU00323,CUST00177,2024-12,4,95244,8,3,4
EU00324,CUST00138,2024-01,2,238148,7,0,4
EU00325,CUST00138,2024-02,2,187806,8,0,9
EU00326,CUST00138,2024-03,2,237364,10,2,10
EU00327,CUST00138,2024-04,6,339342,15,3,7
EU00328,CUST00138,2024-05,1,133022,5,1,12
EU00329,CUST00138,2024-06,3,413649,10,1,13
EU00330,CUST00138,2024-07,1,103775,3,1,7
EU00331,CUST00138,2024-08,1,143583,3,1,15
EU00332,CUST00138,2024-09,1,13885,1,0,4
EU00333,CUST00138,2024-10,1,20713,1,1,13
EU00334,CUST00138,2024-11,2,136340,2,1,14
EU00335,CUST00138,2024-12,3,179571,9,1,10
EU00336,CUST00292,2024-01,2,296786,2,2,7
EU00337,CUST00292,2024-02,3,447021,14,0,11
EU00338,CUST00292,2024-03,8,300512,13,3,14
EU00339,CUST00292,2024-04,2,156780,8,0,9
EU00340,CUST00292,2024-05,3,173571,16,0,12
EU00341,CUST00292,2024-06,3,386802,3,2,14
EU00342,CUST00292,2024-07,3,200979,4,0,14
EU00343,CUST00292,2024-08,1,70557,8,1,2
EU00344,CUST00292,2024-09,2,189540,6,1,12
EU00345,CUST00292,2024-10,4,207660,10,0,12
EU00346,CUST00292,2024-11,1,128461,6,1,13
EU00347,CUST00292,2024-12,1,73039,1,1,8
EU00348,CUST00305,2024-01,1,57999,5,1,7
EU00349,CUST00305,2024-02,3,270723,7,0,8
EU00350,CUST00305,2024-03,2,209842,2,2,5
EU00351,CUST00305,2024-04,5,169585,13,3,7
EU00352,CUST00305,2024-05,2,98348,7,2,17
EU00353,CUST00305,2024-06,0,0,0,0,22
EU00354,CUST00305,2024-07,3,186402,8,3,4
EU00355,CUST00305,2024-08,2,275496,8,1,8
EU00356,CUST00305,2024-09,3,343644,6,3,9
EU00357,CUST00305,2024-10,0,0,0,0,12
EU00358,CUST00305,2024-11,2,236530,4,2,9
EU00359,CUST00305,2024-12,1,91945,1,1,9
EU00360,CUST00106,2024-01,0,0,0,0,2
EU00361,CUST00106,2024-02,1,97001,9,1,8
EU00362,CUST00106,2024-03,0,0,1,0,16
EU00363,CUST00106,2024-04,0,0,6,0,14
EU00364,CUST00106,2024-05,1,21877,4,1,4
EU00365,CUST00106,2024-06,2,188186,4,2,5
EU00366,CUST00106,2024-07,2,20878,6,0,6
EU00367,CUST00106,2024-08,2,72870,6,1,11
EU00368,CUST00106,2024-09,2,209134,9,2,16
EU00369,CUST00106,2024-10,2,44106,5,1,4
EU00370,CUST00106,2024-11,1,114042,2,1,10
EU00371,CUST00106,2024-12,5,531565,15,2,14
EU00372,CUST00236,2024-01,1,91270,5,1,20
EU00373,CUST00236,2024-02,0,0,4,0,9
EU00374,CUST00236,2024-03,1,25618,2,1,13
EU00375,CUST00236,2024-04,4,425904,10,1,7
EU00376,CUST00236,2024-05,3,234549,6,3,13
EU00377,CUST00236,2024-06,3,269106,7,3,5
EU00378,CUST00236,2024-07,1,131800,3,0,7
EU00379,CUST00236,2024-08,5,327725,10,0,12
EU00380,CUST00236,2024-09,0,0,6,0,2
EU00381,CUST00236,2024-10,2,180672,4,1,8
EU00382,CUST00236,2024-11,4,172660,14,1,12
EU00383,CUST00236,2024-12,0,0,2,0,3
EU00384,CUST00173,2024-01,3,305388,7,0,12
EU00385,CUST00173,2024-02,1,110249,1,0,12
EU00386,CUST00173,2024-03,2,193104,6,2,8
EU00387,CUST00173,2024-04,3,441804,4,1,8
EU00388,CUST00173,2024-05,5,121355,17,0,12
EU00389,CUST00173,2024-06,5,95875,14,3,22
EU00390,CUST00173,2024-07,2,155720,4,2,5
EU00391,CUST00173,2024-08,2,179666,7,2,12
EU00392,CUST00173,2024-09,1,145660,4,1,15
EU00393,CUST00173,2024-10,1,103438,1,1,13
EU00394,CUST00173,2024-11,0,0,0,0,9
EU00395,CUST00173,2024-12,2,282544,11,0,3
EU00396,CUST00014,2024-01,1,146263,4,1,10
EU00397,CUST00014,2024-02,2,31396,6,0,2
EU00398,CUST00014,2024-03,0,0,1,0,6
EU00399,CUST00014,2024-04,4,380600,16,1,12
EU00400,CUST00014,2024-05,2,199482,3,0,4
EU00401,CUST00014,2024-06,2,92372,5,2,11
EU00402,CUST00014,2024-07,4,103128,17,1,5
EU00403,CUST00014,2024-08,2,238380,4,1,9
EU00404,CUST00014,2024-09,3,365124,10,1,12
EU00405,CUST00014,2024-10,2,275344,7,2,10
EU00406,CUST00014,2024-11,3,301161,7,2,11
EU00407,CUST00014,2024-12,1,148823,1,1,11
EU00408,CUST00154,2024-04,4,436736,10,0,9
EU00409,CUST00154,2024-05,3,275103,10,3,9
EU00410,CUST00154,2024-06,4,575900,11,1,7
EU00411,CUST00154,2024-07,1,80866,4,1,12
EU00412,CUST00154,2024-08,2,69840,11,0,16
EU00413,CUST00154,2024-09,3,331410,6,1,10
EU00414,CUST00154,2024-10,5,507060,13,3,17
EU00415,CUST00154,2024-11,3,205758,6,1,8
EU00416,CUST00154,2024-12,3,408852,8,2,8
EU00417,CUST00382,2024-01,3,232191,12,0,21
EU00418,CUST00382,2024-02,1,68672,3,0,8
EU00419,CUST00382,2024-03,1,56855,2,1,9
EU00420,CUST00382,2024-04,5,259695,11,3,5
EU00421,CUST00382,2024-05,3,272139,8,1,14
EU00422,CUST00382,2024-06,1,130408,1,1,12
EU00423,CUST00382,2024-07,0,0,1,0,0
EU00424,CUST00382,2024-08,4,160196,12,1,8
EU00425,CUST00382,2024-09,3,201210,5,3,3
EU00426,CUST00382,2024-10,4,485132,9,2,13
EU00427,CUST00382,2024-11,1,142222,6,0,17
EU00428,CUST00382,2024-12,2,188566,5,1,12
EU00429,CUST00062,2024-01,1,56409,4,1,1
EU00430,CUST00062,2024-02,3,148230,13,0,16
EU00431,CUST00062,2024-03,3,425046,6,0,16
EU00432,CUST00062,2024-04,2,270968,4,2,5
EU00433,CUST00062,2024-05,1,72829,1,0,14
EU00434,CUST00062,2024-06,4,490404,10,0,10
EU00435,CUST00062,2024-07,1,102232,1,1,10
EU00436,CUST00062,2024-08,0,0,0,0,8
EU00437,CUST00062,2024-09,3,449628,9,3,17
EU00438,CUST00062,2024-10,2,39200,6,1,10
EU00439,CUST00062,2024-11,1,83781,5,1,11
EU00440,CUST00062,2024-12,1,68441,2,1,14
EU00441,CUST00399,2024-01,2,238986,3,0,5
EU00442,CUST00399,2024-02,3,65739,11,2,18
EU00443,CUST00399,2024-03,4,156140,13,2,4
EU00444,CUST00399,2024-04,1,129679,5,1,8
EU00445,CUST00399,2024-05,6,783168,15,1,10
EU00446,CUST00399,2024-06,0,0,1,0,10
EU00447,CUST00399,2024-07,0,0,0,0,3
EU00448,CUST00399,2024-08,1,13132,3,1,2
EU00449,CUST00399,2024-09,5,155065,13,2,6
EU00450,CUST00399,2024-10,0,0,5,0,9
EU00451,CUST00399,2024-11,4,560308,12,0,13
EU00452,CUST00399,2024-12,3,310269,9,3,20
EU00453,CUST00067,2024-01,2,43310,10,0,0
EU00454,CUST00067,2024-02,1,48376,1,1,4
EU00455,CUST00067,2024-03,0,0,4,0,11
EU00456,CUST00067,2024-04,3,346137,7,3,7
EU00457,CUST00067,2024-05,5,613170,22,3,14
EU00458,CUST00067,2024-06,2,233844,10,2,17
EU00459,CUST00067,2024-07,2,119210,9,1,6
EU00460,CUST00067,2024-08,2,184716,8,1,0
EU00461,CUST00067,2024-09,1,128317,4,0,13
EU00462,CUST00067,2024-10,1,10717,3,1,21
EU00463,CUST00067,2024-11,1,51739,1,0,9
EU00464,CUST00067,2024-12,2,162260,5,1,12
EU00465,CUST00347,2024-01,0,0,6,0,11
EU00466,CUST00347,2024-02,3,331977,7,2,11
EU00467,CUST00347,2024-03,1,74062,6,0,11
EU00468,CUST00347,2024-04,4,98804,10,0,2
EU00469,CUST00347,2024-05,4,379140,16,1,3
EU00470,CUST00347,2024-06,4,566492,13,3,13
EU00471,CUST00347,2024-07,2,148508,10,0,18
EU00472,CUST00347,2024-08,2,184210,9,0,5
EU00473,CUST00347,2024-09,2,258712,6,2,8
EU00474,CUST00347,2024-10,0,0,6,0,0
EU00475,CUST00347,2024-11,2,177482,2,2,15
EU00476,CUST00347,2024-12,2,114764,6,1,11
EU00477,CUST00223,2024-01,5,526680,14,1,11
EU00478,CUST00223,2024-02,4,445828,16,1,15
EU00479,CUST00223,2024-03,1,50239,3,1,10
EU00480,CUST00223,2024-04,5,58880,17,3,10
EU00481,CUST00223,2024-05,5,262535,17,0,0
EU00482,CUST00223,2024-06,5,568960,18,1,6
EU00483,CUST00223,2024-07,4,565224,16,3,14
EU00484,CUST00223,2024-08,3,342906,9,2,6
EU00485,CUST00223,2024-09,1,127047,4,1,7
EU00486,CUST00223,2024-10,2,106792,9,1,14
EU00487,CUST00223,2024-11,4,578296,13,1,10
EU00488,CUST00223,2024-12,3,400743,9,1,12
EU00489,CUST00060,2024-01,3,281184,9,1,17
EU00490,CUST00060,2024-02,2,59582,9,2,2
EU00491,CUST00060,2024-03,2,214788,9,2,8
EU00492,CUST00060,2024-04,0,0,0,0,11
EU00493,CUST00060,2024-05,1,107321,2,1,15
EU00494,CUST00060,2024-06,2,118956,2,0,9
EU00495,CUST00060,2024-07,4,216920,7,2,6
EU00496,CUST00060,2024-08,0,0,0,0,15
EU00497,CUST00060,2024-09,2,69428,4,2,1
EU00498,CUST00060,2024-10,2,298222,5,2,9
EU00499,CUST00060,2024-11,2,111146,10,2,8
EU00500,CUST00060,2024-12,6,764034,20,2,13
EU00501,CUST00054,2024-01,2,236380,4,2,14
EU00502,CUST00054,2024-02,2,151516,2,2,13
EU00503,CUST00054,2024-03,0,0,2,0,15
EU00504,CUST00054,2024-04,0,0,0,0,13
EU00505,CUST00054,2024-05,3,83409,6,2,4
EU00506,CUST00054,2024-06,0,0,1,0,13
EU00507,CUST00054,2024-07,2,128980,7,1,6
EU00508,CUST00054,2024-08,4,574300,17,0,8
EU00509,CUST00054,2024-09,4,314120,8,0,4
EU00510,CUST00054,2024-10,1,49598,1,1,0
EU00511,CUST00054,2024-11,2,123194,6,2,7
EU00512,CUST00054,2024-12,1,64448,5,1,4
EU00513,CUST00389,2024-01,3,334383,8,1,8
EU00514,CUST00389,2024-02,0,0,0,0,10
EU00515,CUST00389,2024-03,1,89392,4,1,12
EU00516,CUST00389,2024-04,3,49884,5,3,11
EU00517,CUST00389,2024-05,0,0,0,0,16
